コーナー,通過順
1コーナー,
2コーナー,
3コーナー,"2(3,6)(12,9,7)(13,15,8)(1,10)(5,14)-(4,11)"
4コーナー,"2,3(12,6)(13,9)(15,7)8(1,14,10)5,4,11"
