券種,組み合わせ,配当,人気
単勝,7,350,2
複勝,7,140,2
複勝,8,110,1
複勝,9,810,12
枠連,4-4,250,1
馬連,7-8,250,1
ワイド,7-8,170,1
ワイド,7-9,2560,26
ワイド,8-9,1790,17
馬単,7-8,560,2
3連複,7-8-9,4360,13
3連単,7-8-9,14670,40
