コーナー,通過順
1コーナー,
2コーナー,
3コーナー,"5,9(4,7)8,12,1,6(10,13)(2,11,14)3,15,16"
4コーナー,"5,9(4,7)(8,12)6(1,10)(13,11)(2,14)3-(16,15)"
