券種,組み合わせ,配当,人気
単勝,17,2310,7
複勝,17,450,7
複勝,18,160,1
複勝,13,330,6
枠連,8-8,1560,8
馬連,17-18,2680,9
ワイド,17-18,970,12
ワイド,13-17,2030,19
ワイド,13-18,690,8
馬単,17-18,6890,24
3連複,13-17-18,6590,19
3連単,17-18-13,50530,144
