stem,race_id,距離,馬場種別,馬場,天候,頭数,レース名,等級
2025-01-12_中山11R_フェアリーS,202506010411,1600,芝,良,曇,16,フェアリーS,
2025-01-12_中山12R_4歳以上2勝クラス,202506010412,1200,ダ,良,曇,16,4歳以上2勝クラス,
2025-01-13_中京09R_鳥羽特別,202507010509,1400,ダ,良,晴,16,鳥羽特別,
2025-01-13_中京10R_雅S,202507010510,1800,ダ,良,晴,16,雅S,
2025-01-13_中京11R_シンザン記念,202507010511,1600,芝,良,晴,15,シンザン記念,
2025-01-13_中京12R_4歳以上2勝クラス,202507010512,1200,芝,良,晴,14,4歳以上2勝クラス,
2025-01-13_中山09R_成田特別,202506010509,2400,ダ,良,晴,16,成田特別,
2025-01-13_中山10R_初春S,202506010510,1200,ダ,良,晴,16,初春S,
2025-01-13_中山11R_ニューイヤーS,202506010511,1600,芝,良,晴,16,ニューイヤーS,
2025-01-13_中山12R_4歳以上1勝クラス,202506010512,1600,芝,良,晴,16,4歳以上1勝クラス,
2025-01-18_中京09R_濃尾特別,202507010609,1800,ダ,良,晴,16,濃尾特別,
2025-01-18_中京10R_紅梅S,202507010610,1400,芝,良,晴,12,紅梅S,
2025-01-18_中京11R_遠江S,202507010611,1400,ダ,良,晴,16,遠江S,
2025-01-18_中京12R_4歳以上2勝クラス,202507010612,1600,芝,良,晴,13,4歳以上2勝クラス,
2025-01-18_中山09R_菜の花賞,202506010609,1600,芝,良,晴,16,菜の花賞,
2025-01-18_中山10R_アレキサンドライトS,202506010610,1800,ダ,良,晴,16,アレキサンドライトS,
2025-01-18_中山11R_カーバンクルS,202506010611,1200,芝,良,晴,16,カーバンクルS,
2025-01-18_中山12R_4歳以上1勝クラス,202506010612,2000,芝,良,晴,16,4歳以上1勝クラス,
2025-01-19_中京09R_西尾特別,202507010709,2000,芝,良,晴,11,西尾特別,
2025-01-19_中京10R_豊川特別,202507010710,1200,ダ,良,晴,16,豊川特別,
2025-01-19_中京11R_日経新春杯,202507010711,2200,芝,良,晴,16,日経新春杯,
2025-01-19_中京12R_4歳以上1勝クラス,202507010712,1600,芝,良,晴,16,4歳以上1勝クラス,
2025-01-19_中山09R_若潮S,202506010709,1600,芝,良,曇,12,若潮S,
2025-01-19_中山10R_ジャニュアリーS,202506010710,1200,ダ,良,曇,16,ジャニュアリーS,
2025-01-19_中山11R_京成杯,202506010711,2000,芝,良,小雨,14,京成杯,
2025-01-19_中山12R_3歳未勝利,202506010712,1600,芝,良,小雨,16,3歳未勝利,
2025-01-25_中京09R_若駒S,202507010809,2000,芝,良,晴,10,若駒S,
2025-01-25_中京10R_刈谷特別,202507010810,1800,ダ,良,晴,13,刈谷特別,
2025-01-25_中京11R_瀬戸S,202507010811,1900,ダ,良,晴,14,瀬戸S,
2025-01-25_中京12R_4歳以上1勝クラス,202507010812,2000,芝,良,晴,12,4歳以上1勝クラス,
2025-01-25_中山09R_東雲賞,202506010809,1600,芝,良,曇,10,東雲賞,
2025-01-25_中山10R_初霞賞,202506010810,1800,ダ,良,曇,13,初霞賞,
2025-01-25_中山11R_初富士S,202506010811,2000,芝,良,晴,17,初富士S,
2025-01-25_中山12R_3歳未勝利,202506010812,1600,芝,良,晴,16,3歳未勝利,
2025-01-25_小倉09R_萌黄賞,202510010109,1200,芝,良,晴,12,萌黄賞,
2025-01-25_小倉10R_企救丘特別,202510010110,1700,ダ,良,晴,16,企救丘特別,
2025-01-25_小倉11R_小倉牝馬S,202510010111,2000,芝,良,晴,18,小倉牝馬S,
2025-01-25_小倉12R_4歳以上1勝クラス,202510010112,1800,芝,良,晴,16,4歳以上1勝クラス,
2025-01-26_中京09R_茶臼山高原特別,202507010909,2000,芝,良,晴,9,茶臼山高原特別,
2025-01-26_中京10R_トリトンS,202507010910,1400,芝,良,晴,14,トリトンS,
2025-01-26_中京11R_プロキオンS,202507010911,1800,ダ,良,晴,16,プロキオンS,
2025-01-26_中京12R_4歳以上2勝クラス,202507010912,1400,芝,良,晴,13,4歳以上2勝クラス,
2025-01-26_中山09R_若竹賞,202506010909,1800,芝,良,晴,11,若竹賞,
2025-01-26_中山10R_江戸川S,202506010910,1200,ダ,良,晴,15,江戸川S,
2025-01-26_中山11R_AJCC,202506010911,2200,芝,良,晴,18,AJCC,
2025-01-26_中山12R_4歳以上1勝クラス,202506010912,1600,芝,良,晴,14,4歳以上1勝クラス,
2025-01-26_小倉09R_八幡特別,202510010209,1200,芝,良,晴,18,八幡特別,
2025-01-26_小倉10R_海の中道特別,202510010210,2600,芝,良,晴,16,海の中道特別,
2025-01-26_小倉11R_壇之浦S,202510010211,1800,芝,良,晴,12,壇之浦S,
2025-01-26_小倉12R_4歳以上1勝クラス,202510010212,1700,ダ,良,晴,11,4歳以上1勝クラス,
2025-02-01_京都09R_白梅賞,202508010109,1600,芝,良,曇,8,白梅賞,
2025-02-01_京都10R_許波多特別,202508010110,2400,芝,良,曇,10,許波多特別,
2025-02-01_京都11R_舞鶴S,202508010111,1800,ダ,良,曇,12,舞鶴S,
2025-02-01_京都12R_4歳以上2勝クラス,202508010112,1600,芝,良,曇,8,4歳以上2勝クラス,
2025-02-01_小倉09R_平尾台特別,202510010309,1700,ダ,稍,雨,16,平尾台特別,
2025-02-01_小倉10R_有田特別,202510010310,1000,ダ,重,雨,14,有田特別,
2025-02-01_小倉11R_巌流島S,202510010311,1200,芝,重,雨,18,巌流島S,
2025-02-01_小倉12R_4歳以上1勝クラス,202510010312,1200,芝,重,雨,18,4歳以上1勝クラス,
2025-02-01_東京09R_白嶺S,202505010109,1600,ダ,良,晴,16,白嶺S,
2025-02-01_東京10R_クロッカスS,202505010110,1400,芝,良,晴,7,クロッカスS,
2025-02-01_東京11R_白富士S,202505010111,2000,芝,良,曇,13,白富士S,
2025-02-01_東京12R_4歳以上1勝クラス,202505010112,1800,芝,良,曇,16,4歳以上1勝クラス,
2025-02-02_京都09R_天ケ瀬特別,202508010209,1800,ダ,稍,曇,10,天ケ瀬特別,
2025-02-02_京都10R_八坂S,202508010210,2200,芝,稍,曇,7,八坂S,
2025-02-02_京都11R_シルクロードS,202508010211,1200,芝,稍,曇,17,シルクロードS,
2025-02-02_京都12R_4歳以上1勝クラス,202508010212,1400,芝,稍,曇,18,4歳以上1勝クラス,
2025-02-02_小倉09R_戸畑特別,202510010409,2000,芝,稍,晴,16,戸畑特別,
2025-02-02_小倉10R_周防灘特別,202510010410,1200,芝,稍,曇,18,周防灘特別,
2025-02-02_小倉11R_門司S,202510010411,1700,ダ,重,曇,16,門司S,
2025-02-02_小倉12R_4歳以上1勝クラス,202510010412,1200,芝,稍,曇,18,4歳以上1勝クラス,
2025-02-02_東京09R_セントポーリア賞,202505010209,1800,芝,良,小雨,13,セントポーリア賞,
2025-02-02_東京10R_節分S,202505010210,1400,芝,良,曇,11,節分S,
2025-02-02_東京11R_根岸S,202505010211,1400,ダ,稍,曇,16,根岸S,
2025-02-02_東京12R_4歳以上2勝クラス,202505010212,2000,芝,良,曇,10,4歳以上2勝クラス,
2025-02-08_小倉09R_足立山特別,202510010509,2600,芝,稍,曇,14,足立山特別,
2025-02-08_小倉10R_RKB賞,202510010510,2000,芝,稍,曇,16,RKB賞,
2025-02-08_小倉11R_豊前S,202510010511,1700,ダ,稍,曇,15,豊前S,
2025-02-08_小倉12R_4歳以上1勝クラス,202510010512,1200,芝,稍,曇,18,4歳以上1勝クラス,
2025-02-08_東京09R_春菜賞,202505010309,1400,芝,良,晴,16,春菜賞,
2025-02-08_東京10R_テレビ山梨杯,202505010310,1400,芝,良,晴,13,テレビ山梨杯,
2025-02-08_東京11R_早春S,202505010311,2400,芝,良,晴,14,早春S,
2025-02-08_東京12R_4歳以上1勝クラス,202505010312,1300,ダ,良,晴,16,4歳以上1勝クラス,
2025-02-09_京都09R_斑鳩S,202508010409,1600,芝,稍,晴,14,斑鳩S,
2025-02-09_京都10R_令月S,202508010410,1200,ダ,稍,晴,16,令月S,
2025-02-09_京都11R_きさらぎ賞,202508010411,1800,芝,稍,晴,10,きさらぎ賞,
2025-02-09_京都12R_4歳以上2勝クラス,202508010412,1200,ダ,稍,晴,16,4歳以上2勝クラス,
2025-02-09_小倉09R_かささぎ賞,202510010609,1200,芝,稍,晴,16,かささぎ賞,
2025-02-09_小倉10R_由布院特別,202510010610,1700,ダ,稍,晴,16,由布院特別,
2025-02-09_小倉11R_小倉日経賞,202510010611,2000,芝,稍,晴,11,小倉日経賞,
2025-02-09_小倉12R_4歳以上1勝クラス,202510010612,1200,芝,稍,晴,18,4歳以上1勝クラス,
2025-02-09_東京09R_ゆりかもめ賞,202505010409,2400,芝,良,晴,11,ゆりかもめ賞,
2025-02-09_東京10R_初音S,202505010410,1800,芝,良,晴,16,初音S,
