stem,race_id,距離,馬場種別,馬場,天候,頭数,レース名,等級
2026-01-18_中山11R_京成杯,202606010711,2000,芝,良,晴,15,京成杯,
2026-01-18_中山12R_3歳未勝利,202606010712,1600,芝,良,晴,16,3歳未勝利,
2026-01-18_京都09R_小倉山特別,202608010709,1400,ダ,良,晴,16,小倉山特別,
2026-01-18_京都10R_大津特別,202608010710,1800,ダ,良,晴,16,大津特別,
2026-01-18_京都11R_日経新春杯,202608010711,2400,芝,良,晴,13,日経新春杯,
2026-01-18_京都12R_4歳以上1勝クラス,202608010712,1600,芝,良,晴,11,4歳以上1勝クラス,
2026-01-24_中山09R_東雲賞,202606010809,1800,芝,良,晴,9,東雲賞,
2026-01-24_中山11R_初富士S,202606010811,2000,芝,良,曇,18,初富士S,
2026-01-24_中山12R_4歳以上1勝クラス,202606010812,1600,芝,良,曇,12,4歳以上1勝クラス,
2026-01-24_京都09R_若駒S,202608010809,2000,芝,良,晴,13,若駒S,
2026-01-24_京都10R_下鴨S,202608010810,1900,ダ,良,晴,15,下鴨S,
2026-01-24_京都11R_睦月S,202608010811,1600,芝,良,晴,14,睦月S,
2026-01-24_京都12R_4歳以上2勝クラス,202608010812,1400,芝,良,晴,11,4歳以上2勝クラス,
2026-01-24_小倉09R_萌黄賞,202610010109,1200,芝,良,晴,12,萌黄賞,
2026-01-24_小倉10R_海の中道特別,202610010110,2600,芝,良,晴,9,海の中道特別,
2026-01-24_小倉11R_小倉牝馬S,202610010111,2000,芝,良,晴,18,小倉牝馬S,
2026-01-24_小倉12R_4歳以上1勝クラス,202610010112,1700,ダ,良,晴,15,4歳以上1勝クラス,
2026-01-31_京都09R_長浜特別,202608020109,1400,ダ,良,晴,13,長浜特別,
2026-01-31_京都10R_許波多特別,202608020110,2400,芝,良,晴,8,許波多特別,
2026-01-31_京都11R_舞鶴S,202608020111,1800,ダ,良,晴,13,舞鶴S,
2026-01-31_京都12R_4歳以上1勝クラス,202608020112,1600,芝,良,晴,17,4歳以上1勝クラス,
2026-01-31_小倉09R_有田特別,202610010309,1000,ダ,良,晴,14,有田特別,
2026-01-31_小倉10R_平尾台特別,202610010310,1700,ダ,良,晴,16,平尾台特別,
2026-01-31_小倉11R_巌流島S,202610010311,1200,芝,良,晴,18,巌流島S,
2026-01-31_小倉12R_4歳以上1勝クラス,202610010312,2000,芝,良,晴,16,4歳以上1勝クラス,
2026-01-31_東京09R_白嶺S,202605010109,1600,ダ,良,晴,16,白嶺S,
2026-01-31_東京10R_クロッカスS,202605010110,1400,芝,良,晴,15,クロッカスS,
2026-01-31_東京11R_白富士S,202605010111,2000,芝,良,晴,10,白富士S,
2026-01-31_東京12R_4歳以上1勝クラス,202605010112,1800,芝,良,晴,12,4歳以上1勝クラス,
2026-02-01_京都09R_衣笠特別,202608020209,1800,ダ,良,曇,11,衣笠特別,
2026-02-01_京都10R_八坂S,202608020210,2200,芝,良,曇,8,八坂S,
2026-02-01_京都11R_シルクロードS,202608020211,1200,芝,良,曇,18,シルクロードS,G3
2026-02-01_京都12R_4歳以上2勝クラス,202608020212,1600,芝,良,曇,7,4歳以上2勝クラス,
2026-02-01_小倉09R_足立山特別,202610010409,2600,芝,良,曇,11,足立山特別,
2026-02-01_小倉10R_周防灘特別,202610010410,1200,芝,良,曇,15,周防灘特別,
2026-02-01_小倉11R_門司S,202610010411,1700,ダ,良,曇,15,門司S,
2026-02-01_小倉12R_4歳以上1勝クラス,202610010412,1200,芝,良,曇,18,4歳以上1勝クラス,
2026-02-01_東京09R_セントポーリア賞,202605010209,1800,芝,良,晴,12,セントポーリア賞,
2026-02-01_東京10R_節分S,202605010210,1400,芝,良,晴,15,節分S,
2026-02-01_東京11R_根岸S,202605010211,1400,ダ,良,晴,16,根岸S,
2026-02-01_東京12R_3歳未勝利,202605010212,1800,芝,良,晴,16,3歳未勝利,
2026-02-08_小倉09R_かささぎ賞,202610010609,1200,芝,良,曇,15,かささぎ賞,
2026-02-08_小倉10R_由布院特別,202610010610,1700,ダ,良,曇,16,由布院特別,
2026-02-08_小倉11R_小倉日経賞,202610010611,2000,芝,良,曇,12,小倉日経賞,
2026-02-08_小倉12R_4歳以上1勝クラス,202610010612,1200,芝,良,曇,18,4歳以上1勝クラス,
2026-02-10_京都09R_石清水S,202608020409,1600,芝,良,曇,13,石清水S,
2026-02-10_京都10R_大和S,202608020410,1200,ダ,良,曇,16,大和S,
2026-02-10_京都11R_きさらぎ賞,202608020411,1800,芝,良,曇,9,きさらぎ賞,
2026-02-10_京都12R_4歳以上2勝クラス,202608020412,1200,ダ,良,曇,16,4歳以上2勝クラス,
2026-02-10_東京09R_ゆりかもめ賞,202605010409,2400,芝,良,曇,7,ゆりかもめ賞,
2026-02-10_東京10R_初音S,202605010410,1800,芝,良,曇,11,初音S,
2026-02-10_東京11R_東京新聞杯,202605010411,1600,芝,良,曇,16,東京新聞杯,
2026-02-14_京都09R_こぶし賞,202608020509,1600,芝,良,晴,11,こぶし賞,
2026-02-14_京都10R_飛鳥S,202608020510,2000,芝,良,晴,16,飛鳥S,
2026-02-14_京都11R_洛陽S,202608020511,1600,芝,良,晴,14,洛陽S,
2026-02-14_小倉09R_あすなろ賞,202610010709,2000,芝,良,曇,10,あすなろ賞,
2026-02-14_小倉10R_伊万里特別,202610010710,1000,ダ,良,曇,14,伊万里特別,
2026-02-14_小倉11R_下関S,202610010711,1200,芝,良,曇,18,下関S,
2026-02-14_小倉12R_4歳以上1勝クラス,202610010712,1800,芝,良,雨,15,4歳以上1勝クラス,
2026-02-14_東京09R_箱根特別,202605010509,2400,芝,良,晴,8,箱根特別,
2026-02-14_東京10R_銀蹄S,202605010510,1400,ダ,良,晴,16,銀蹄S,
2026-02-14_東京11R_クイーンC,202605010511,1600,芝,良,晴,16,クイーンC,
2026-02-15_京都09R_春日特別,202608020609,1800,芝,良,曇,11,春日特別,
2026-02-15_京都10R_北山S,202608020610,1800,ダ,良,曇,10,北山S,
2026-02-15_京都11R_京都記念,202608020611,2200,芝,良,曇,12,京都記念,
2026-02-15_京都12R_4歳以上2勝クラス,202608020612,1200,ダ,良,曇,16,4歳以上2勝クラス,
2026-02-15_小倉09R_太宰府特別,202610010809,2000,芝,稍,晴,7,太宰府特別,
2026-02-15_小倉10R_大濠特別,202610010810,1200,芝,稍,晴,18,大濠特別,
2026-02-15_小倉11R_北九州短距離S,202610010811,1200,芝,稍,晴,18,北九州短距離S,
2026-02-15_東京09R_雲雀S,202605010609,1600,芝,良,晴,16,雲雀S,
2026-02-15_東京10R_バレンタインS,202605010610,1400,ダ,良,晴,16,バレンタインS,
2026-02-15_東京11R_共同通信杯,202605010611,1800,芝,良,晴,9,共同通信杯,
2026-02-15_東京12R_4歳以上2勝クラス,202605010612,1400,ダ,良,晴,16,4歳以上2勝クラス,
2026-02-21_小倉09R_あざみ賞,202610010909,1200,芝,良,晴,10,あざみ賞,
2026-02-21_小倉10R_皿倉山特別,202610010910,2600,芝,良,晴,16,皿倉山特別,
2026-02-21_小倉11R_小倉城S,202610010911,1700,ダ,良,晴,13,小倉城S,
2026-02-21_小倉12R_4歳以上1勝クラス,202610010912,1200,芝,良,晴,18,4歳以上1勝クラス,
2026-02-21_東京11R_ダイヤモンドS,202605010711,3400,芝,良,晴,15,ダイヤモンドS,
2026-02-21_阪神09R_4歳以上1勝クラス,202609010109,1600,芝,良,晴,18,4歳以上1勝クラス,
2026-02-21_阪神10R_鳴門S,202609010110,1400,ダ,良,晴,16,鳴門S,
2026-02-21_阪神11R_阪急杯,202609010111,1400,芝,良,晴,18,阪急杯,
2026-02-21_阪神12R_4歳以上2勝クラス,202609010112,1800,ダ,良,晴,15,4歳以上2勝クラス,
2026-02-22_小倉09R_高千穂特別,202610011009,1800,芝,良,晴,12,高千穂特別,
2026-02-22_小倉10R_和布刈特別,202610011010,1700,ダ,良,晴,16,和布刈特別,
2026-02-22_小倉11R_小倉大賞典,202610011011,1800,芝,良,晴,16,小倉大賞典,
2026-02-22_小倉12R_4歳以上1勝クラス,202610011012,1200,芝,良,晴,18,4歳以上1勝クラス,
2026-02-22_東京09R_ヒヤシンスS,202605010809,1600,ダ,良,晴,10,ヒヤシンスS,
2026-02-22_東京10R_ジャパンC2025ベストレース受賞記念,202605010810,2000,芝,良,晴,14,ジャパンC2025ベストレース受賞記念,
2026-02-22_東京11R_フェブラリーS,202605010811,1600,ダ,良,晴,16,フェブラリーS,
2026-02-22_東京12R_大島特別,202605010812,1400,ダ,良,晴,16,大島特別,
2026-02-22_阪神09R_天神橋特別,202609010209,1600,芝,良,晴,10,天神橋特別,
2026-02-22_阪神10R_戎橋S,202609010210,1400,芝,良,晴,8,戎橋S,
2026-02-22_阪神11R_令月S,202609010211,1200,ダ,良,曇,12,令月S,
2026-02-22_阪神12R_4歳以上2勝クラス,202609010212,1400,ダ,良,曇,16,4歳以上2勝クラス,
2026-02-28_中山09R_水仙賞,202606020109,2200,芝,良,晴,8,水仙賞,
2026-02-28_中山10R_春風S,202606020110,1200,ダ,稍,晴,16,春風S,
2026-02-28_中山11R_オーシャンS,202606020111,1200,芝,良,晴,16,オーシャンS,
2026-02-28_中山12R_4歳以上2勝クラス,202606020112,1800,ダ,稍,晴,16,4歳以上2勝クラス,
2026-02-28_小倉09R_背振山特別,202610011109,2600,芝,稍,晴,16,背振山特別,
2026-02-28_小倉10R_早鞆特別,202610011110,1700,ダ,重,晴,16,早鞆特別,
2026-02-28_小倉11R_別府特別,202610011111,2000,芝,稍,晴,15,別府特別,
2026-02-28_小倉12R_4歳以上1勝クラス,202610011112,1200,芝,稍,晴,18,4歳以上1勝クラス,
2026-02-28_阪神09R_松籟S,202609010309,3000,芝,良,曇,9,松籟S,
2026-02-28_阪神10R_マーガレットS,202609010310,1200,芝,良,曇,9,マーガレットS,
2026-02-28_阪神11R_仁川S,202609010311,2000,ダ,良,曇,16,仁川S,
2026-02-28_阪神12R_4歳以上2勝クラス,202609010312,1400,芝,良,曇,18,4歳以上2勝クラス,
2026-03-01_中山10R_アクアマリンS,202606020210,1200,芝,良,晴,15,アクアマリンS,
2026-03-01_中山11R_中山記念,202606020211,1800,芝,良,晴,14,中山記念,
2026-03-01_中山12R_4歳以上2勝クラス,202606020212,1200,ダ,良,晴,16,4歳以上2勝クラス,
2026-03-01_小倉09R_唐戸特別,202610011209,2000,芝,良,晴,18,唐戸特別,
2026-03-01_小倉11R_関門橋S,202610011211,2000,芝,良,晴,17,関門橋S,
2026-03-01_小倉12R_4歳以上1勝クラス,202610011212,1700,ダ,稍,晴,16,4歳以上1勝クラス,
2026-03-01_阪神09R_山陽特別,202609010409,2200,芝,良,晴,9,山陽特別,
2026-03-01_阪神10R_伊丹S,202609010410,1800,ダ,良,晴,14,伊丹S,
2026-03-01_阪神11R_チューリップ賞,202609010411,1600,芝,良,晴,15,チューリップ賞,
2026-03-07_中山09R_潮来特別,202606020309,2500,芝,稍,晴,13,潮来特別,
2026-03-07_中山10R_上総S,202606020310,1800,ダ,重,晴,14,上総S,
2026-03-07_中山11R_中山牝馬S,202606020311,1800,芝,稍,晴,16,中山牝馬S,
2026-03-07_中山12R_4歳以上1勝クラス,202606020312,1600,芝,稍,曇,16,4歳以上1勝クラス,
2026-03-07_阪神09R_千里山特別,202609010509,2000,芝,良,曇,9,千里山特別,
2026-03-07_阪神10R_なにわS,202609010510,1200,ダ,稍,曇,15,なにわS,
2026-03-07_阪神11R_フィリーズレビュー,202609010511,1400,芝,良,晴,18,フィリーズレビュー,
2026-03-07_阪神12R_4歳以上1勝クラス,202609010512,1200,ダ,稍,晴,16,4歳以上1勝クラス,
2026-03-08_中山09R_湾岸S,202606020409,2500,芝,良,晴,16,湾岸S,
2026-03-08_中山10R_総武S,202606020410,1800,ダ,稍,晴,15,総武S,
2026-03-08_中山11R_弥生賞ディープインパクト記念,202606020411,2000,芝,良,晴,10,弥生賞ディープインパクト記念,
2026-03-08_中山12R_4歳以上2勝クラス,202606020412,1200,芝,良,晴,16,4歳以上2勝クラス,
2026-03-08_阪神09R_アルメリア賞,202609010609,1800,芝,良,晴,6,アルメリア賞,
2026-03-08_阪神10R_岸和田S,202609010610,1600,芝,良,晴,14,岸和田S,
2026-03-08_阪神11R_大阪城S,202609010611,1800,芝,良,晴,13,大阪城S,
2026-03-08_阪神12R_4歳以上2勝クラス,202609010612,1400,ダ,良,晴,14,4歳以上2勝クラス,
2026-03-14_中京09R_鶴舞特別,202607010109,2200,芝,良,晴,10,鶴舞特別,
2026-03-14_中京10R_茶臼山高原特別,202607010110,2000,芝,良,晴,10,茶臼山高原特別,
2026-03-14_中京11R_中京スポーツ杯,202607010111,1800,ダ,良,晴,14,中京スポーツ杯,
2026-03-14_中京12R_4歳以上1勝クラス,202607010112,1400,芝,良,晴,18,4歳以上1勝クラス,
2026-03-14_中山10R_幕張S,202606020510,1600,芝,良,晴,16,幕張S,
2026-03-14_中山11R_アネモネS,202606020511,1600,芝,良,晴,16,アネモネS,
2026-03-14_中山12R_4歳以上2勝クラス,202606020512,1200,ダ,良,晴,16,4歳以上2勝クラス,
2026-03-14_阪神09R_讃岐特別,202609010709,1200,芝,良,晴,15,讃岐特別,
2026-03-14_阪神10R_難波S,202609010710,1800,芝,良,晴,11,難波S,
2026-03-14_阪神11R_コーラルS,202609010711,1400,ダ,良,晴,13,コーラルS,
2026-03-14_阪神12R_4歳以上1勝クラス,202609010712,1800,ダ,良,晴,8,4歳以上1勝クラス,
2026-03-15_中京09R_伊良湖特別,202607010209,1200,ダ,良,晴,16,伊良湖特別,
2026-03-15_中京10R_昇竜S,202607010210,1400,ダ,良,晴,12,昇竜S,
2026-03-15_中京11R_金鯱賞,202607010211,2000,芝,良,晴,14,金鯱賞,
2026-03-15_中京12R_4歳以上1勝クラス,202607010212,1200,芝,良,晴,18,4歳以上1勝クラス,
2026-03-15_中山09R_阿見特別,202606020609,2400,ダ,良,晴,11,阿見特別,
2026-03-15_中山10R_東風S,202606020610,1600,芝,良,晴,16,東風S,
2026-03-15_中山11R_スプリングS,202606020611,1800,芝,良,晴,16,スプリングS,
2026-03-15_中山12R_4歳以上1勝クラス,202606020612,1200,ダ,良,晴,16,4歳以上1勝クラス,
2026-03-15_阪神09R_ゆきやなぎ賞,202609010809,2400,芝,良,曇,7,ゆきやなぎ賞,
2026-03-15_阪神10R_甲南S,202609010810,1800,ダ,良,曇,14,甲南S,
2026-03-15_阪神11R_米子城S,202609010811,1200,芝,良,晴,16,米子城S,
2026-03-15_阪神12R_4歳以上2勝クラス,202609010812,1400,ダ,良,晴,13,4歳以上2勝クラス,
2026-03-21_中京09R_岡崎特別,202607010309,1400,芝,良,晴,10,岡崎特別,
2026-03-21_中京10R_豊明S,202607010310,1400,ダ,良,晴,16,豊明S,
2026-03-21_中京11R_ファルコンS,202607010311,1400,芝,良,晴,17,ファルコンS,
2026-03-21_中京12R_4歳以上1勝クラス,202607010312,1600,芝,良,晴,14,4歳以上1勝クラス,
2026-03-21_中山09R_館山特別,202606020709,1800,芝,良,晴,16,館山特別,
2026-03-21_中山10R_韓国馬事会杯,202606020710,1800,ダ,良,晴,13,韓国馬事会杯,
2026-03-21_中山11R_フラワーC,202606020711,1800,芝,良,晴,16,フラワーC,
2026-03-21_中山12R_4歳以上1勝クラス,202606020712,1200,ダ,良,晴,16,4歳以上1勝クラス,
2026-03-21_阪神09R_淡路特別,202609010909,2600,芝,良,晴,8,淡路特別,
2026-03-21_阪神10R_淀屋橋S,202609010910,1200,芝,良,晴,16,淀屋橋S,
2026-03-21_阪神11R_若葉S,202609010911,2000,芝,良,晴,12,若葉S,L
2026-03-21_阪神12R_4歳以上1勝クラス,202609010912,1200,ダ,良,晴,15,4歳以上1勝クラス,
2026-03-22_中京09R_フローラルウォーク賞,202607010409,1600,芝,良,曇,10,フローラルウォーク賞,
2026-03-22_中京10R_弥富特別,202607010410,1900,ダ,良,曇,16,弥富特別,
2026-03-22_中京12R_4歳以上1勝クラス,202607010412,1200,ダ,良,曇,16,4歳以上1勝クラス,
2026-03-22_中山09R_鎌ケ谷特別,202606020809,1200,ダ,良,晴,16,鎌ケ谷特別,
2026-03-22_中山10R_スピカS,202606020810,1800,芝,良,晴,9,スピカS,
2026-03-22_中山11R_千葉S,202606020811,1200,ダ,良,晴,16,千葉S,
2026-03-22_中山12R_4歳以上2勝クラス,202606020812,1800,ダ,良,曇,16,4歳以上2勝クラス,
2026-03-22_阪神09R_皆生特別,202609011009,1600,芝,良,曇,8,皆生特別,
2026-03-22_阪神11R_阪神大賞典,202609011011,3000,芝,良,曇,10,阪神大賞典,
2026-03-22_阪神12R_4歳以上2勝クラス,202609011012,1400,ダ,良,曇,13,4歳以上2勝クラス,
2026-03-28_中京09R_ロイヤルバンコクスポーツクラブ賞,202607010509,1900,ダ,稍,晴,9,ロイヤルバンコクスポーツクラブ賞,
2026-03-28_中京10R_ターフオーソリティーオブインディア賞,202607010510,2200,芝,良,晴,12,ターフオーソリティーオブインディア賞,
2026-03-28_中京11R_マレーシアC,202607010511,1600,芝,良,晴,16,マレーシアC,
2026-03-28_中京12R_フィリピンT,202607010512,1400,芝,良,晴,16,フィリピンT,
2026-03-28_中山09R_ブラッドストーンS,202606030109,1200,ダ,重,晴,16,ブラッドストーンS,
2026-03-28_中山10R_伏竜S,202606030110,1800,ダ,重,晴,10,伏竜S,
2026-03-28_中山12R_4歳以上2勝クラス,202606030112,1800,ダ,重,晴,16,4歳以上2勝クラス,
2026-03-28_阪神09R_君子蘭賞,202609020109,1800,芝,良,晴,7,君子蘭賞,
2026-03-28_阪神10R_仲春特別,202609020110,1400,芝,良,晴,11,仲春特別,
2026-03-28_阪神11R_毎日杯,202609020111,1800,芝,良,晴,7,毎日杯,
2026-03-28_阪神12R_4歳以上2勝クラス,202609020112,2000,ダ,良,晴,14,4歳以上2勝クラス,
2026-03-29_中京10R_伊勢S,202607010610,1900,ダ,良,晴,15,伊勢S,
2026-03-29_中京11R_高松宮記念,202607010611,1200,芝,良,晴,18,高松宮記念,
2026-03-29_中京12R_鈴鹿特別,202607010612,1400,ダ,良,晴,16,鈴鹿特別,
2026-03-29_中山09R_ミモザ賞,202606030209,2000,芝,良,晴,7,ミモザ賞,
2026-03-29_中山10R_船橋S,202606030210,1200,芝,良,晴,15,船橋S,
2026-03-29_中山11R_マーチS,202606030211,1800,ダ,稍,晴,16,マーチS,
2026-03-29_中山12R_4歳以上2勝クラス,202606030212,1200,芝,良,晴,11,4歳以上2勝クラス,
2026-03-29_阪神09R_4歳以上1勝クラス,202609020209,1800,ダ,良,晴,15,4歳以上1勝クラス,
2026-03-29_阪神10R_御堂筋S,202609020210,2400,芝,良,晴,11,御堂筋S,
2026-03-29_阪神11R_六甲S,202609020211,1600,芝,良,晴,13,六甲S,
2026-03-29_阪神12R_4歳以上2勝クラス,202609020212,1200,ダ,良,晴,16,4歳以上2勝クラス,
2026-04-04_中山09R_山吹賞,202606030309,2200,芝,稍,曇,13,山吹賞,
2026-04-04_中山10R_千葉日報杯,202606030310,1800,ダ,重,雨,15,千葉日報杯,
2026-04-04_中山11R_ダービー卿CT,202606030311,1600,芝,稍,曇,16,ダービー卿CT,
2026-04-04_中山12R_4歳以上2勝クラス,202606030312,1200,ダ,重,曇,16,4歳以上2勝クラス,
2026-04-04_阪神09R_アザレア賞,202609020309,2400,芝,稍,曇,9,アザレア賞,
2026-04-04_阪神10R_ポラリスS,202609020310,1400,ダ,稍,雨,16,ポラリスS,
2026-04-04_阪神11R_チャーチルダウンズC,202609020311,1600,芝,稍,雨,14,チャーチルダウンズC,
2026-04-04_阪神12R_4歳以上2勝クラス,202609020312,1400,ダ,重,雨,15,4歳以上2勝クラス,
2026-04-05_中山09R_安房特別,202606030409,2500,芝,稍,曇,8,安房特別,
2026-04-05_中山11R_美浦S,202606030411,2000,芝,稍,曇,16,美浦S,
2026-04-05_中山12R_4歳以上2勝クラス,202606030412,1600,芝,稍,曇,12,4歳以上2勝クラス,
2026-04-05_阪神09R_バイオレットS,202609020409,1400,ダ,重,晴,12,バイオレットS,
2026-04-05_阪神10R_心斎橋S,202609020410,1400,芝,良,晴,18,心斎橋S,
2026-04-05_阪神11R_大阪杯,202609020411,2000,芝,良,晴,15,大阪杯,
2026-04-05_阪神12R_天満橋S,202609020412,1400,ダ,重,晴,16,天満橋S,
2026-04-11_中山09R_山藤賞,202606030509,2000,芝,良,晴,7,山藤賞,
2026-04-11_中山10R_卯月S,202606030510,1200,ダ,稍,晴,13,卯月S,
2026-04-11_中山11R_ニュージーランドT,202606030511,1600,芝,良,晴,15,ニュージーランドT,
2026-04-11_中山12R_4歳以上2勝クラス,202606030512,1200,ダ,稍,晴,16,4歳以上2勝クラス,
2026-04-11_福島09R_浄土平特別,202603010109,1800,芝,良,晴,16,浄土平特別,
2026-04-11_福島10R_花見山特別,202603010110,1200,芝,良,晴,16,花見山特別,
2026-04-11_福島11R_吾妻小富士S,202603010111,1700,ダ,良,晴,15,吾妻小富士S,
2026-04-11_福島12R_4歳以上1勝クラス,202603010112,1200,芝,良,晴,16,4歳以上1勝クラス,
2026-04-11_阪神09R_明石特別,202609020509,2400,芝,良,晴,8,明石特別,
2026-04-11_阪神10R_大阪―ハンブルクC,202609020510,2600,芝,良,晴,13,大阪―ハンブルクC,
2026-04-11_阪神12R_4歳以上2勝クラス,202609020512,1200,ダ,重,晴,16,4歳以上2勝クラス,
2026-04-12_中山09R_印西特別,202606030609,2400,ダ,良,晴,12,印西特別,
2026-04-12_中山10R_あけぼのS,202606030610,1600,芝,良,晴,12,あけぼのS,
2026-04-12_中山11R_春雷S,202606030611,1200,芝,良,晴,16,春雷S,
2026-04-12_中山12R_4歳以上1勝クラス,202606030612,1200,ダ,良,晴,13,4歳以上1勝クラス,
2026-04-12_福島09R_燧ケ岳特別,202603010209,2600,芝,良,晴,13,燧ケ岳特別,
2026-04-12_福島10R_喜多方特別,202603010210,1150,ダ,良,晴,16,喜多方特別,
2026-04-12_福島11R_福島民報杯,202603010211,2000,芝,良,晴,15,福島民報杯,
2026-04-12_福島12R_4歳以上1勝クラス,202603010212,1700,ダ,良,晴,15,4歳以上1勝クラス,
2026-04-12_阪神09R_忘れな草賞,202609020609,2000,芝,良,晴,14,忘れな草賞,
2026-04-12_阪神10R_京橋S,202609020610,2000,芝,良,晴,15,京橋S,
2026-04-12_阪神11R_桜花賞,202609020611,1600,芝,良,晴,18,桜花賞,
2026-04-12_阪神12R_梅田S,202609020612,2000,ダ,良,晴,13,梅田S,
2026-04-18_中山09R_袖ケ浦特別,202606030709,1200,芝,良,晴,12,袖ケ浦特別,
2026-04-18_中山10R_下総S,202606030710,1800,ダ,良,晴,13,下総S,
2026-04-18_中山11R_中山グランドJ,202606030711,4260,障,良,晴,10,中山グランドJ,
2026-04-18_中山12R_葛飾特別,202606030712,1200,ダ,良,晴,13,葛飾特別,
2026-04-18_福島09R_ひめさゆり賞,202603010309,2000,芝,良,晴,9,ひめさゆり賞,
2026-04-18_福島10R_桑折特別,202603010310,2000,芝,良,晴,8,桑折特別,
2026-04-18_福島11R_ラジオ福島賞,202603010311,1700,ダ,良,晴,15,ラジオ福島賞,
2026-04-18_福島12R_4歳以上1勝クラス,202603010312,1200,芝,良,晴,16,4歳以上1勝クラス,
2026-04-18_阪神09R_吹田特別,202609020709,1400,ダ,良,晴,14,吹田特別,
2026-04-18_阪神10R_丹波特別,202609020710,1400,芝,良,晴,9,丹波特別,
2026-04-18_阪神11R_アンタレスS,202609020711,1800,ダ,良,曇,16,アンタレスS,
2026-04-18_阪神12R_4歳以上1勝クラス,202609020712,1200,ダ,良,曇,15,4歳以上1勝クラス,
2026-04-19_中山09R_野島崎特別,202606030809,2000,芝,良,晴,12,野島崎特別,
2026-04-19_中山10R_京葉S,202606030810,1200,ダ,良,晴,15,京葉S,
2026-04-19_中山11R_皐月賞,202606030811,2000,芝,良,晴,18,皐月賞,
2026-04-19_中山12R_サンシャインS,202606030812,2200,芝,良,晴,18,サンシャインS,
2026-04-19_福島09R_須賀川特別,202603010409,1200,芝,良,晴,16,須賀川特別,
2026-04-19_福島10R_奥の細道特別,202603010410,2600,芝,良,晴,13,奥の細道特別,
2026-04-19_福島11R_福島牝馬S,202603010411,1800,芝,良,晴,16,福島牝馬S,
2026-04-19_福島12R_4歳以上1勝クラス,202603010412,1150,ダ,良,晴,15,4歳以上1勝クラス,
2026-04-19_阪神09R_蓬莱峡特別,202609020809,2000,芝,良,曇,10,蓬莱峡特別,
2026-04-19_阪神10R_陽春S,202609020810,1200,ダ,良,曇,13,陽春S,
2026-04-19_阪神11R_立雲峡S,202609020811,1600,芝,良,曇,10,立雲峡S,
2026-04-19_阪神12R_4歳以上2勝クラス,202609020812,1800,ダ,良,曇,10,4歳以上2勝クラス,
2026-04-25_京都09R_4歳以上1勝クラス,202608030109,1400,芝,良,晴,16,4歳以上1勝クラス,
2026-04-25_京都12R_4歳以上2勝クラス,202608030112,1600,芝,良,晴,11,4歳以上2勝クラス,
2026-04-25_東京09R_石和特別,202605020109,1800,芝,良,晴,9,石和特別,
2026-04-25_東京10R_鎌倉S,202605020110,1400,ダ,稍,晴,15,鎌倉S,
2026-04-25_東京11R_青葉賞,202605020111,2400,芝,良,晴,18,青葉賞,
2026-04-25_東京12R_4歳以上2勝クラス,202605020112,1600,ダ,稍,晴,13,4歳以上2勝クラス,
2026-04-25_福島09R_雪うさぎ賞,202603010509,1200,芝,良,晴,16,雪うさぎ賞,
2026-04-25_福島10R_医王寺特別,202603010510,1200,芝,良,晴,16,医王寺特別,
2026-04-25_福島11R_福島中央テレビ杯,202603010511,1150,ダ,良,晴,12,福島中央テレビ杯,
2026-04-25_福島12R_4歳以上1勝クラス,202603010512,1800,芝,良,晴,16,4歳以上1勝クラス,
2026-04-26_京都09R_比良山特別,202608030209,2200,芝,良,晴,11,比良山特別,
2026-04-26_京都10R_センテニアルパークS,202608030210,1800,芝,良,曇,18,センテニアルパークS,
2026-04-26_京都11R_マイラーズC,202608030211,1600,芝,良,曇,18,マイラーズC,G2
2026-04-26_京都12R_4歳以上2勝クラス,202608030212,1800,ダ,良,曇,14,4歳以上2勝クラス,
2026-04-26_東京09R_湘南S,202605020209,1400,芝,良,晴,16,湘南S,
2026-04-26_東京10R_オアシスS,202605020210,1600,ダ,稍,晴,16,オアシスS,
2026-04-26_東京11R_フローラS,202605020211,2000,芝,良,晴,13,フローラS,
2026-04-26_東京12R_4歳以上2勝クラス,202605020212,1400,ダ,稍,晴,16,4歳以上2勝クラス,
2026-04-26_福島09R_飯盛山特別,202603010609,2000,芝,良,晴,13,飯盛山特別,
2026-04-26_福島11R_モルガナイトS,202603010611,1200,芝,良,晴,16,モルガナイトS,
2026-04-26_福島12R_4歳以上1勝クラス,202603010612,1150,ダ,良,晴,16,4歳以上1勝クラス,
2026-05-02_京都09R_矢車賞,202608030309,2200,芝,良,晴,9,矢車賞,
2026-05-02_京都10R_京極特別,202608030310,1200,ダ,稍,晴,12,京極特別,
2026-05-02_京都11R_ユニコーンS,202608030311,1900,ダ,稍,晴,12,ユニコーンS,
2026-05-02_京都12R_4歳以上1勝クラス,202608030312,1600,芝,良,曇,10,4歳以上1勝クラス,
2026-05-02_新潟09R_わらび賞,202604010109,1800,ダ,重,晴,15,わらび賞,
2026-05-02_新潟10R_胎内川特別,202604010110,1800,芝,稍,晴,15,胎内川特別,
2026-05-02_新潟11R_三条S,202604010111,1800,ダ,重,晴,15,三条S,
2026-05-02_新潟12R_4歳以上1勝クラス,202604010112,1000,芝,稍,晴,16,4歳以上1勝クラス,
2026-05-02_東京09R_是政S,202605020309,2100,ダ,稍,晴,16,是政S,
2026-05-02_東京10R_スイートピーS,202605020310,1800,芝,良,晴,11,スイートピーS,
