騎手,粒度,条件,n,勝利数,複勝内数,勝率,複勝率,単勝回収率,信頼できる母数
△吉村,脚質,先行,9,1,2,0.1111,0.2222,1.3333,False
三浦,場×距離帯×馬場,福島/ダ/短距離(~1400),9,2,4,0.2222,0.4444,1.3333,False
荻野極,脚質,差し,206,21,57,0.1019,0.2767,1.3301,True
三浦,脚質×距離帯,差し/マイル(1401-1800),75,5,27,0.0667,0.36,1.3293,False
武藤,脚質×距離帯,先行/中距離(1801-2200),7,2,2,0.2857,0.2857,1.3286,False
横山琉,場×距離帯×馬場,東京/ダ/短距離(~1400),7,1,3,0.1429,0.4286,1.3286,False
舟山,場×距離帯×馬場,函館/芝/短距離(~1400),7,1,2,0.1429,0.2857,1.3286,False
藤岡佑,脚質×距離帯,先行/マイル(1401-1800),24,5,9,0.2083,0.375,1.325,False
菱田,脚質×距離帯,追込/短距離(~1400),8,1,1,0.125,0.125,1.325,False
川須,場,新潟,9,1,4,0.1111,0.4444,1.3222,False
国分恭,場,阪神,19,1,3,0.0526,0.1579,1.3211,False
▲石神道,脚質×距離帯,差し/短距離(~1400),20,1,2,0.05,0.1,1.32,False
西村淳,場×距離帯×馬場,中京/芝/中距離(1801-2200),10,2,4,0.2,0.4,1.32,False
角田和,場,新潟,10,1,3,0.1,0.3,1.32,False
幸,場×距離帯×馬場,小倉/芝/短距離(~1400),17,1,5,0.0588,0.2941,1.3176,False
田辺,場×距離帯×馬場,福島/芝/マイル(1401-1800),7,2,4,0.2857,0.5714,1.3143,False
川田,場×距離帯×馬場,中山/芝/中距離(1801-2200),8,2,4,0.25,0.5,1.3125,False
富田,場×距離帯×馬場,中京/ダ/短距離(~1400),17,1,2,0.0588,0.1176,1.3118,False
丹内,場×距離帯×馬場,小倉/芝/マイル(1401-1800),9,3,6,0.3333,0.6667,1.3111,False
吉村,枠番,内枠(1-2),85,3,12,0.0353,0.1412,1.3106,False
池添,枠番,外枠(7-8),96,9,21,0.0938,0.2188,1.3104,False
高杉,場×距離帯×馬場,中京/芝/短距離(~1400),10,1,5,0.1,0.5,1.31,False
荻野極,距離帯,短距離(~1400),177,20,52,0.113,0.2938,1.309,True
幸,脚質×距離帯,差し/短距離(~1400),57,3,10,0.0526,0.1754,1.3088,False
川又,距離帯,短距離(~1400),58,3,8,0.0517,0.1379,1.3086,False
☆田山,場,中京,28,4,10,0.1429,0.3571,1.3071,False
斎藤,場×距離帯×馬場,福島/芝/短距離(~1400),15,1,1,0.0667,0.0667,1.3067,False
三浦,脚質×距離帯,先行/短距離(~1400),41,4,17,0.0976,0.4146,1.3049,False
岩田望,脚質,先行,155,22,61,0.1419,0.3935,1.3045,True
小崎,距離帯,短距離(~1400),114,8,24,0.0702,0.2105,1.3044,False
岩田望,脚質×距離帯,先行/短距離(~1400),57,10,23,0.1754,0.4035,1.3035,True
岩田望,場×距離帯×馬場,京都/芝/マイル(1401-1800),34,8,17,0.2353,0.5,1.3029,False
国分優,場,阪神,35,3,4,0.0857,0.1143,1.3,False
△長浜,距離帯,短距離(~1400),21,2,3,0.0952,0.1429,1.3,False
斎藤,場×距離帯×馬場,新潟/ダ/短距離(~1400),11,1,4,0.0909,0.3636,1.3,False
吉田隼,脚質,追込,7,1,2,0.1429,0.2857,1.3,False
西塚,枠番,外枠(7-8),62,7,13,0.1129,0.2097,1.2984,False
小崎,枠番,内枠(1-2),45,2,5,0.0444,0.1111,1.2978,False
モレイ,場,中山,28,12,17,0.4286,0.6071,1.2929,True
丸田,脚質×距離帯,差し/長距離(2201~),14,3,5,0.2143,0.3571,1.2929,False
斎藤,場,福島,49,6,14,0.1224,0.2857,1.2918,False
丸田,場,中山,53,2,4,0.0377,0.0755,1.2887,False
小沢,場×距離帯×馬場,新潟/芝/短距離(~1400),15,1,1,0.0667,0.0667,1.2867,False
石川,場×距離帯×馬場,中山/芝/短距離(~1400),14,1,5,0.0714,0.3571,1.2857,False
浜中,脚質×距離帯,先行/中距離(1801-2200),20,1,2,0.05,0.1,1.285,False
小崎,脚質,差し,131,5,15,0.0382,0.1145,1.284,False
武豊,脚質×距離帯,先行/マイル(1401-1800),53,10,28,0.1887,0.5283,1.283,True
吉村,脚質,先行,121,8,22,0.0661,0.1818,1.2785,False
小沢,枠番,外枠(7-8),104,6,21,0.0577,0.2019,1.2779,False
藤岡佑,脚質×距離帯,差し/短距離(~1400),29,2,9,0.069,0.3103,1.2759,False
武藤,場×距離帯×馬場,中山/芝/マイル(1401-1800),12,1,1,0.0833,0.0833,1.275,False
松若,場×距離帯×馬場,京都/芝/マイル(1401-1800),19,2,2,0.1053,0.1053,1.2737,False
富田,場,中京,65,4,9,0.0615,0.1385,1.2723,False
西村淳,脚質×距離帯,先行/中距離(1801-2200),21,4,8,0.1905,0.381,1.2714,False
柴田善,枠番,内枠(1-2),14,1,2,0.0714,0.1429,1.2714,False
△柴田裕,脚質×距離帯,差し/マイル(1401-1800),7,1,1,0.1429,0.1429,1.2714,False
横山和,枠番,外枠(7-8),111,11,29,0.0991,0.2613,1.2667,True
丹内,脚質,逃げ,15,2,4,0.1333,0.2667,1.2667,False
武藤,枠番,内枠(1-2),37,4,6,0.1081,0.1622,1.2649,False
小崎,枠番,中枠(3-6),132,10,19,0.0758,0.1439,1.2644,True
モレイ,距離帯,短距離(~1400),14,7,9,0.5,0.6429,1.2643,False
斎藤,場×距離帯×馬場,小倉/芝/中距離(1801-2200),11,2,3,0.1818,0.2727,1.2636,False
小崎,脚質×距離帯,先行/マイル(1401-1800),24,2,4,0.0833,0.1667,1.2625,False
吉田隼,場,小倉,29,3,8,0.1034,0.2759,1.2621,False
佐々木,場×距離帯×馬場,札幌/芝/マイル(1401-1800),13,2,3,0.1538,0.2308,1.2615,False
荻野極,場,福島,80,10,23,0.125,0.2875,1.2612,True
吉村,距離帯,短距離(~1400),153,8,28,0.0523,0.183,1.2601,False
横山典,脚質×距離帯,先行/短距離(~1400),25,4,5,0.16,0.2,1.26,False
横山武,場×距離帯×馬場,京都/芝/短距離(~1400),5,1,2,0.2,0.4,1.26,False
ディー,距離帯,中距離(1801-2200),23,2,7,0.087,0.3043,1.2478,False
柴田善,距離帯,マイル(1401-1800),23,1,1,0.0435,0.0435,1.2478,False
横山典,距離帯,中距離(1801-2200),39,4,10,0.1026,0.2564,1.2436,False
横山武,距離帯,中距離(1801-2200),83,11,24,0.1325,0.2892,1.2434,True
吉田豊,場×距離帯×馬場,東京/芝/長距離(2201~),12,1,2,0.0833,0.1667,1.2417,False
吉田隼,距離帯,中距離(1801-2200),45,4,6,0.0889,0.1333,1.24,False
横山典,場×距離帯×馬場,東京/芝/中距離(1801-2200),5,1,1,0.2,0.2,1.24,False
バルザ,場,東京,5,1,3,0.2,0.6,1.24,False
◇永島,枠番,外枠(7-8),33,3,8,0.0909,0.2424,1.2394,False
西村淳,距離帯,マイル(1401-1800),130,15,49,0.1154,0.3769,1.2377,True
モレイ,脚質×距離帯,先行/短距離(~1400),8,4,4,0.5,0.5,1.2375,False
バデル,距離帯,短距離(~1400),8,2,3,0.25,0.375,1.2375,False
☆田山,脚質,先行,9,2,4,0.2222,0.4444,1.2333,False
Cデム,距離帯,長距離(2201~),6,2,4,0.3333,0.6667,1.2333,False
古川吉,場×距離帯×馬場,函館/芝/短距離(~1400),13,1,1,0.0769,0.0769,1.2308,False
松山,場×距離帯×馬場,阪神/ダ/短距離(~1400),35,6,14,0.1714,0.4,1.2286,False
内田博,場×距離帯×馬場,新潟/ダ/短距離(~1400),7,1,1,0.1429,0.1429,1.2286,False
横山和,距離帯,中距離(1801-2200),51,9,18,0.1765,0.3529,1.2275,False
バデル,脚質,差し,11,2,3,0.1818,0.2727,1.2273,False
丹内,場×距離帯×馬場,中山/芝/長距離(2201~),8,2,3,0.25,0.375,1.225,False
三浦,場×距離帯×馬場,福島/芝/短距離(~1400),8,3,5,0.375,0.625,1.225,False
岩田望,場×距離帯×馬場,京都/ダ/短距離(~1400),22,3,6,0.1364,0.2727,1.2227,False
浜中,場×距離帯×馬場,札幌/芝/マイル(1401-1800),9,2,2,0.2222,0.2222,1.2222,False
石川,場×距離帯×馬場,東京/ダ/マイル(1401-1800),19,2,4,0.1053,0.2105,1.2211,False
武豊,場×距離帯×馬場,函館/芝/短距離(~1400),19,2,5,0.1053,0.2632,1.2211,False
池添,枠番,内枠(1-2),51,4,8,0.0784,0.1569,1.2196,False
西村淳,脚質×距離帯,先行/マイル(1401-1800),53,6,19,0.1132,0.3585,1.2189,False
菅原明,枠番,内枠(1-2),77,11,30,0.1429,0.3896,1.2182,True
中井,場×距離帯×馬場,中京/ダ/短距離(~1400),11,2,3,0.1818,0.2727,1.2182,False
藤岡佑,脚質,先行,59,9,20,0.1525,0.339,1.2136,False
田口,脚質,差し,214,11,30,0.0514,0.1402,1.2131,True
松山,場×距離帯×馬場,京都/ダ/マイル(1401-1800),16,3,4,0.1875,0.25,1.2125,False
古川吉,脚質×距離帯,差し/長距離(2201~),19,2,7,0.1053,0.3684,1.2105,False
吉田隼,枠番,外枠(7-8),74,4,16,0.0541,0.2162,1.2095,False
横山和,場,東京,120,10,29,0.0833,0.2417,1.2092,True
古川吉,距離帯,短距離(~1400),99,9,18,0.0909,0.1818,1.2081,False
菊沢,脚質,逃げ,14,2,3,0.1429,0.2143,1.2071,False
荻野極,場×距離帯×馬場,福島/芝/マイル(1401-1800),14,2,3,0.1429,0.2143,1.2071,False
大野,脚質×距離帯,差し/中距離(1801-2200),24,1,4,0.0417,0.1667,1.2042,False
石橋脩,場×距離帯×馬場,東京/ダ/短距離(~1400),24,1,3,0.0417,0.125,1.2042,False
西塚,脚質,先行,82,8,15,0.0976,0.1829,1.2,False
▲上里,場,中山,11,1,1,0.0909,0.0909,1.2,False
▲鷲頭,距離帯,マイル(1401-1800),5,1,2,0.2,0.4,1.2,False
ルメー,場×距離帯×馬場,阪神/ダ/マイル(1401-1800),5,2,2,0.4,0.4,1.2,False
▲小林美,場×距離帯×馬場,札幌/ダ/マイル(1401-1800),5,1,3,0.2,0.6,1.2,False
◇今村,場,新潟,40,4,9,0.1,0.225,1.1975,False
長岡,脚質×距離帯,差し/マイル(1401-1800),35,3,8,0.0857,0.2286,1.1971,False
酒井,距離帯,短距離(~1400),134,5,18,0.0373,0.1343,1.194,False
横山武,場,札幌,68,11,26,0.1618,0.3824,1.1926,True
吉田隼,場,函館,40,4,10,0.1,0.25,1.19,False
小沢,脚質,追込,17,1,2,0.0588,0.1176,1.1882,False
ルメー,場×距離帯×馬場,阪神/芝/マイル(1401-1800),8,2,5,0.25,0.625,1.1875,False
横山和,脚質×距離帯,逃げ/マイル(1401-1800),7,2,2,0.2857,0.2857,1.1857,False
モレイ,枠番,内枠(1-2),6,3,3,0.5,0.5,1.1833,False
岩田望,場×距離帯×馬場,新潟/芝/短距離(~1400),6,2,3,0.3333,0.5,1.1833,False
酒井,場,小倉,34,2,5,0.0588,0.1471,1.1794,False
バデル,枠番,中枠(3-6),14,3,5,0.2143,0.3571,1.1786,False
鮫島駿,場×距離帯×馬場,札幌/芝/短距離(~1400),9,2,4,0.2222,0.4444,1.1778,False
横山和,場,阪神,13,3,5,0.2308,0.3846,1.1769,False
△長浜,場,東京,13,1,2,0.0769,0.1538,1.1769,False
岩田望,場,中山,34,5,12,0.1471,0.3529,1.1765,False
戸崎圭,脚質×距離帯,差し/マイル(1401-1800),103,11,40,0.1068,0.3883,1.1757,True
吉村,場×距離帯×馬場,中京/芝/マイル(1401-1800),8,2,3,0.25,0.375,1.175,False
吉田豊,脚質,先行,46,4,5,0.087,0.1087,1.1739,False
杉原,場,中山,65,4,8,0.0615,0.1231,1.1738,False
石川,脚質×距離帯,差し/短距離(~1400),53,4,12,0.0755,0.2264,1.1736,False
丹内,場×距離帯×馬場,小倉/芝/中距離(1801-2200),15,4,7,0.2667,0.4667,1.1733,False
西塚,枠番,中枠(3-6),105,7,18,0.0667,0.1714,1.1686,False
田口,脚質×距離帯,差し/マイル(1401-1800),89,4,13,0.0449,0.1461,1.1674,False
高杉,場×距離帯×馬場,小倉/ダ/マイル(1401-1800),9,1,2,0.1111,0.2222,1.1667,False
横山武,脚質×距離帯,先行/長距離(2201~),9,1,1,0.1111,0.1111,1.1667,False
松若,場,中山,9,1,3,0.1111,0.3333,1.1667,False
武豊,脚質,先行,111,16,45,0.1441,0.4054,1.1658,True
岩田望,枠番,内枠(1-2),101,19,44,0.1881,0.4356,1.1644,True
国分恭,場,新潟,22,2,5,0.0909,0.2273,1.1636,False
モレイ,脚質×距離帯,差し/マイル(1401-1800),10,4,4,0.4,0.4,1.16,False
草野,場,中京,5,1,3,0.2,0.6,1.16,False
草野,場×距離帯×馬場,中京/障/長距離(2201~),5,1,3,0.2,0.6,1.16,False
◇永島,場×距離帯×馬場,阪神/ダ/短距離(~1400),5,1,1,0.2,0.2,1.16,False
田口,場,京都,133,8,25,0.0602,0.188,1.1594,False
川又,脚質,先行,30,2,8,0.0667,0.2667,1.1567,False
佐々木,脚質×距離帯,差し/短距離(~1400),82,6,15,0.0732,0.1829,1.1561,False
北村友,場,中京,50,6,12,0.12,0.24,1.156,False
シュタ,枠番,中枠(3-6),24,2,6,0.0833,0.25,1.1542,False
▲長浜,距離帯,短距離(~1400),13,2,4,0.1538,0.3077,1.1538,False
北村友,場,札幌,35,5,12,0.1429,0.3429,1.1514,False
△柴田裕,距離帯,マイル(1401-1800),12,2,2,0.1667,0.1667,1.15,False
田口,場×距離帯×馬場,小倉/ダ/マイル(1401-1800),13,2,2,0.1538,0.1538,1.1462,False
レーン,場,京都,13,3,5,0.2308,0.3846,1.1462,False
石川,枠番,中枠(3-6),172,12,30,0.0698,0.1744,1.1459,True
斎藤,場×距離帯×馬場,阪神/ダ/短距離(~1400),11,1,3,0.0909,0.2727,1.1455,False
石橋脩,距離帯,中距離(1801-2200),38,4,11,0.1053,0.2895,1.1447,False
西塚,脚質,差し,113,7,23,0.0619,0.2035,1.1442,False
津村,距離帯,中距離(1801-2200),77,6,17,0.0779,0.2208,1.1442,False
横山典,場×距離帯×馬場,阪神/芝/マイル(1401-1800),7,1,3,0.1429,0.4286,1.1429,False
三浦,脚質,差し,178,16,54,0.0899,0.3034,1.1427,True
松山,場×距離帯×馬場,京都/芝/マイル(1401-1800),26,3,8,0.1154,0.3077,1.1423,False
松山,脚質×距離帯,先行/マイル(1401-1800),64,11,19,0.1719,0.2969,1.1422,True
秋山稔,脚質,差し,114,4,20,0.0351,0.1754,1.1421,False
荻野極,枠番,中枠(3-6),207,17,56,0.0821,0.2705,1.142,True
小沢,脚質×距離帯,差し/マイル(1401-1800),59,3,10,0.0508,0.1695,1.1407,False
坂井,場,中京,84,23,45,0.2738,0.5357,1.1405,True
田山,枠番,中枠(3-6),56,3,12,0.0536,0.2143,1.1393,False
荻野極,脚質,先行,162,21,56,0.1296,0.3457,1.137,True
古川吉,脚質×距離帯,差し/中距離(1801-2200),30,5,13,0.1667,0.4333,1.1367,False
浜中,場×距離帯×馬場,函館/芝/マイル(1401-1800),11,2,3,0.1818,0.2727,1.1364,False
原,枠番,外枠(7-8),99,3,13,0.0303,0.1313,1.1333,False
渡辺竜,脚質,先行,15,1,3,0.0667,0.2,1.1333,False
☆吉村,場×距離帯×馬場,中京/芝/短距離(~1400),6,1,2,0.1667,0.3333,1.1333,False
中井,脚質,先行,31,1,3,0.0323,0.0968,1.1323,False
シュタ,距離帯,中距離(1801-2200),13,1,2,0.0769,0.1538,1.1308,False
石川倭,脚質,差し,10,1,2,0.1,0.2,1.13,False
マーカ,脚質,先行,24,3,8,0.125,0.3333,1.1292,False
丹内,場×距離帯×馬場,東京/ダ/短距離(~1400),14,1,2,0.0714,0.1429,1.1286,False
団野,脚質×距離帯,先行/マイル(1401-1800),46,6,14,0.1304,0.3043,1.1283,False
北村友,脚質,先行,149,16,55,0.1074,0.3691,1.1268,True
レーン,場×距離帯×馬場,東京/芝/短距離(~1400),8,3,4,0.375,0.5,1.125,False
西村淳,場,札幌,9,3,3,0.3333,0.3333,1.1222,False
小林美,脚質×距離帯,先行/短距離(~1400),14,1,2,0.0714,0.1429,1.1214,False
古川吉,距離帯,中距離(1801-2200),57,8,18,0.1404,0.3158,1.1193,False
モレイ,場×距離帯×馬場,中山/芝/マイル(1401-1800),6,3,4,0.5,0.6667,1.1167,False
古川吉,場×距離帯×馬場,福島/芝/中距離(1801-2200),6,1,1,0.1667,0.1667,1.1167,False
横山和,場×距離帯×馬場,札幌/芝/中距離(1801-2200),6,1,1,0.1667,0.1667,1.1167,False
小林美,枠番,外枠(7-8),25,3,3,0.12,0.12,1.116,False
ディー,枠番,外枠(7-8),29,2,7,0.069,0.2414,1.1138,False
古川吉,場,阪神,61,7,13,0.1148,0.2131,1.1131,False
斎藤,脚質×距離帯,差し/短距離(~1400),89,5,13,0.0562,0.1461,1.1124,False
松山,場×距離帯×馬場,小倉/芝/短距離(~1400),17,5,8,0.2941,0.4706,1.1118,False
松山,枠番,外枠(7-8),155,27,58,0.1742,0.3742,1.1116,True
富田,距離帯,短距離(~1400),105,6,20,0.0571,0.1905,1.1114,False
角田和,距離帯,短距離(~1400),108,6,17,0.0556,0.1574,1.1111,False
藤岡佑,場×距離帯×馬場,阪神/芝/マイル(1401-1800),10,1,2,0.1,0.2,1.11,False
黛,場,小倉,38,2,7,0.0526,0.1842,1.1079,False
田山,枠番,内枠(1-2),15,1,5,0.0667,0.3333,1.1067,False
石川,場,中山,92,4,15,0.0435,0.163,1.1022,False
荻野琢,距離帯,短距離(~1400),41,1,4,0.0244,0.0976,1.1,False
津村,場,阪神,12,1,2,0.0833,0.1667,1.1,False
横山武,場×距離帯×馬場,函館/ダ/マイル(1401-1800),11,2,6,0.1818,0.5455,1.1,False
横山武,場×距離帯×馬場,東京/ダ/中距離(1801-2200),9,1,2,0.1111,0.2222,1.1,False
ルメー,場×距離帯×馬場,東京/芝/中距離(1801-2200),9,5,8,0.5556,0.8889,1.1,False
△田山,場,小倉,5,1,1,0.2,0.2,1.1,False
西村淳,枠番,外枠(7-8),124,10,33,0.0806,0.2661,1.0992,True
中井,枠番,内枠(1-2),32,1,4,0.0312,0.125,1.0969,False
松若,脚質×距離帯,先行/マイル(1401-1800),31,4,8,0.129,0.2581,1.0968,False
田口,距離帯,短距離(~1400),170,11,28,0.0647,0.1647,1.0947,True
坂井,場×距離帯×馬場,京都/ダ/短距離(~1400),17,2,5,0.1176,0.2941,1.0941,False
高杉,脚質×距離帯,差し/中距離(1801-2200),42,2,6,0.0476,0.1429,1.0929,False
津村,場×距離帯×馬場,東京/ダ/短距離(~1400),25,1,3,0.04,0.12,1.092,False
三浦,場,福島,46,7,19,0.1522,0.413,1.0913,False
菅原明,場×距離帯×馬場,中山/芝/中距離(1801-2200),22,2,5,0.0909,0.2273,1.0909,False
酒井,場,阪神,94,6,11,0.0638,0.117,1.0883,False
丹内,場×距離帯×馬場,新潟/芝/短距離(~1400),17,2,5,0.1176,0.2941,1.0882,False
◇永島,脚質×距離帯,差し/短距離(~1400),24,2,3,0.0833,0.125,1.0875,False
坂井,場×距離帯×馬場,京都/芝/長距離(2201~),8,3,4,0.375,0.5,1.0875,False
田口,枠番,外枠(7-8),117,6,21,0.0513,0.1795,1.0855,False
菊沢,脚質×距離帯,差し/マイル(1401-1800),89,5,17,0.0562,0.191,1.0854,False
丸山,場×距離帯×馬場,小倉/芝/短距離(~1400),20,2,6,0.1,0.3,1.085,False
大野,場×距離帯×馬場,東京/ダ/マイル(1401-1800),19,2,7,0.1053,0.3684,1.0842,False
西村淳,脚質,先行,144,18,49,0.125,0.3403,1.084,True
坂井,場×距離帯×馬場,小倉/ダ/マイル(1401-1800),6,1,3,0.1667,0.5,1.0833,False
池添,脚質,先行,78,7,14,0.0897,0.1795,1.0821,False
松山,場,中山,22,2,5,0.0909,0.2273,1.0818,False
幸,枠番,中枠(3-6),173,15,38,0.0867,0.2197,1.0798,True
小崎,場×距離帯×馬場,福島/ダ/マイル(1401-1800),9,1,3,0.1111,0.3333,1.0778,False
武豊,場×距離帯×馬場,阪神/ダ/マイル(1401-1800),13,2,8,0.1538,0.6154,1.0769,False
吉村,場,京都,134,6,25,0.0448,0.1866,1.0761,False
横山武,脚質×距離帯,先行/短距離(~1400),54,13,26,0.2407,0.4815,1.0759,True
横山和,脚質,逃げ,12,3,5,0.25,0.4167,1.075,False
▲今村,枠番,中枠(3-6),8,2,2,0.25,0.25,1.075,False
川田,場×距離帯×馬場,京都/芝/中距離(1801-2200),14,2,7,0.1429,0.5,1.0714,False
松山,脚質×距離帯,逃げ/短距離(~1400),7,2,2,0.2857,0.2857,1.0714,False
荻野極,枠番,内枠(1-2),104,12,33,0.1154,0.3173,1.0712,True
浜中,脚質×距離帯,差し/マイル(1401-1800),52,7,15,0.1346,0.2885,1.0692,False
三浦,距離帯,長距離(2201~),22,1,5,0.0455,0.2273,1.0682,False
武藤,脚質,先行,62,6,16,0.0968,0.2581,1.0661,False
丹内,脚質×距離帯,差し/マイル(1401-1800),101,8,28,0.0792,0.2772,1.0653,False
三浦,脚質×距離帯,差し/短距離(~1400),66,8,18,0.1212,0.2727,1.0636,False
斎藤,場×距離帯×馬場,小倉/ダ/マイル(1401-1800),12,2,3,0.1667,0.25,1.0583,False
横山典,場×距離帯×馬場,東京/芝/長距離(2201~),7,2,2,0.2857,0.2857,1.0571,False
佐々木,場×距離帯×馬場,函館/芝/短距離(~1400),27,3,11,0.1111,0.4074,1.0556,False
藤岡佑,脚質×距離帯,先行/短距離(~1400),18,2,5,0.1111,0.2778,1.0556,False
浜中,枠番,内枠(1-2),65,8,20,0.1231,0.3077,1.0538,False
川又,場,京都,26,1,4,0.0385,0.1538,1.0538,False
松山,場,小倉,51,13,25,0.2549,0.4902,1.0529,True
古川吉,場,中京,18,2,4,0.1111,0.2222,1.05,False
田口,距離帯,マイル(1401-1800),158,10,27,0.0633,0.1709,1.0475,True
長岡,場×距離帯×馬場,小倉/ダ/マイル(1401-1800),15,1,1,0.0667,0.0667,1.0467,False
松岡,場×距離帯×馬場,札幌/芝/マイル(1401-1800),5,1,1,0.2,0.2,1.04,False
津村,脚質×距離帯,先行/マイル(1401-1800),75,11,22,0.1467,0.2933,1.0387,True
長岡,場,東京,16,1,5,0.0625,0.3125,1.0375,False
◇永島,場×距離帯×馬場,中京/芝/マイル(1401-1800),8,1,2,0.125,0.25,1.0375,False
バデル,距離帯,マイル(1401-1800),8,2,3,0.25,0.375,1.0375,False
☆田山,枠番,外枠(7-8),8,1,1,0.125,0.125,1.0375,False
古川吉,脚質,差し,171,17,39,0.0994,0.2281,1.0368,True
岩田望,場,阪神,145,20,57,0.1379,0.3931,1.0366,True
大野,場,東京,108,9,31,0.0833,0.287,1.0361,False
ルメー,場,京都,28,8,13,0.2857,0.4643,1.0357,False
岩田康,場×距離帯×馬場,京都/ダ/マイル(1401-1800),14,2,2,0.1429,0.1429,1.0357,False
杉原,場×距離帯×馬場,福島/芝/中距離(1801-2200),6,1,3,0.1667,0.5,1.0333,False
浜中,脚質×距離帯,差し/長距離(2201~),16,3,6,0.1875,0.375,1.0312,False
西塚,場,中京,50,5,12,0.1,0.24,1.03,False
松山,枠番,内枠(1-2),102,17,36,0.1667,0.3529,1.0275,True
荻野極,脚質×距離帯,差し/中距離(1801-2200),41,4,14,0.0976,0.3415,1.0268,False
◇今村,距離帯,短距離(~1400),50,5,12,0.1,0.24,1.026,False
横山和,距離帯,マイル(1401-1800),163,18,48,0.1104,0.2945,1.0245,True
津村,枠番,外枠(7-8),126,13,29,0.1032,0.2302,1.023,True
西村淳,場,中山,22,3,4,0.1364,0.1818,1.0227,False
ルメー,場×距離帯×馬場,東京/芝/短距離(~1400),18,4,10,0.2222,0.5556,1.0222,False
☆高杉,場×距離帯×馬場,阪神/ダ/短距離(~1400),9,2,4,0.2222,0.4444,1.0222,False
ハマー,枠番,中枠(3-6),24,2,3,0.0833,0.125,1.0208,False
舟山,脚質×距離帯,先行/マイル(1401-1800),10,2,3,0.2,0.3,1.02,False
★小林美,場,新潟,5,1,1,0.2,0.2,1.02,False
武豊,場,新潟,5,1,2,0.2,0.4,1.02,False
三浦,脚質×距離帯,追込/短距離(~1400),5,1,1,0.2,0.2,1.02,False
△石田,距離帯,マイル(1401-1800),5,1,1,0.2,0.2,1.02,False
北村友,枠番,外枠(7-8),139,13,42,0.0935,0.3022,1.0187,True
大野,場,新潟,65,3,12,0.0462,0.1846,1.0185,False
佐々木,脚質×距離帯,先行/長距離(2201~),12,3,4,0.25,0.3333,1.0167,False
キング,場×距離帯×馬場,東京/ダ/マイル(1401-1800),6,2,2,0.3333,0.3333,1.0167,False
武豊,場×距離帯×馬場,函館/芝/中距離(1801-2200),6,1,2,0.1667,0.3333,1.0167,False
藤岡佑,枠番,外枠(7-8),68,9,26,0.1324,0.3824,1.0162,False
国分優,枠番,内枠(1-2),39,2,5,0.0513,0.1282,1.0154,False
古川吉,脚質×距離帯,先行/短距離(~1400),20,2,4,0.1,0.2,1.015,False
国分優,場×距離帯×馬場,阪神/芝/マイル(1401-1800),7,1,2,0.1429,0.2857,1.0143,False
松山,場×距離帯×馬場,小倉/芝/マイル(1401-1800),7,2,4,0.2857,0.5714,1.0143,False
Cデム,場,京都,32,7,15,0.2188,0.4688,1.0125,False
松若,場,福島,16,2,5,0.125,0.3125,1.0125,False
舟山,場,新潟,16,3,6,0.1875,0.375,1.0125,False
横山和,距離帯,長距離(2201~),35,4,8,0.1143,0.2286,1.0114,False
マーカ,場,中山,40,6,17,0.15,0.425,1.01,False
丹内,場,新潟,49,5,15,0.102,0.3061,1.0082,False
横山和,場×距離帯×馬場,函館/ダ/マイル(1401-1800),14,4,5,0.2857,0.3571,1.0071,False
ディー,脚質,先行,35,3,9,0.0857,0.2571,1.0057,False
戸崎圭,場×距離帯×馬場,中山/芝/マイル(1401-1800),49,8,15,0.1633,0.3061,1.0041,False
三浦,脚質,先行,128,12,38,0.0938,0.2969,1.0023,True
舟山,枠番,外枠(7-8),22,4,8,0.1818,0.3636,1.0,False
国分恭,場×距離帯×馬場,中京/芝/短距離(~1400),14,1,3,0.0714,0.2143,1.0,False
岩田望,場×距離帯×馬場,京都/ダ/中距離(1801-2200),13,3,4,0.2308,0.3077,1.0,False
横山典,脚質×距離帯,差し/長距離(2201~),11,4,4,0.3636,0.3636,1.0,False
高倉,場×距離帯×馬場,小倉/ダ/マイル(1401-1800),10,1,3,0.1,0.3,1.0,False
古川奈,枠番,内枠(1-2),10,1,2,0.1,0.2,1.0,False
泉谷,場×距離帯×馬場,小倉/芝/短距離(~1400),8,1,1,0.125,0.125,1.0,False
石川,脚質×距離帯,逃げ/マイル(1401-1800),6,1,1,0.1667,0.1667,1.0,False
荻野極,場×距離帯×馬場,福島/芝/長距離(2201~),6,1,2,0.1667,0.3333,1.0,False
ディー,場,中京,6,1,2,0.1667,0.3333,1.0,False
岩田康,場×距離帯×馬場,東京/芝/中距離(1801-2200),5,1,1,0.2,0.2,1.0,False
菊沢,場×距離帯×馬場,新潟/芝/短距離(~1400),52,5,16,0.0962,0.3077,0.9981,False
高杉,脚質×距離帯,差し/短距離(~1400),71,5,21,0.0704,0.2958,0.9972,False
大野,場,福島,39,3,6,0.0769,0.1538,0.9949,False
戸崎圭,場×距離帯×馬場,中山/ダ/マイル(1401-1800),30,3,11,0.1,0.3667,0.9933,False
田口,場×距離帯×馬場,阪神/芝/マイル(1401-1800),28,2,5,0.0714,0.1786,0.9929,False
吉田隼,枠番,中枠(3-6),111,10,25,0.0901,0.2252,0.9928,True
佐々木,枠番,外枠(7-8),134,14,31,0.1045,0.2313,0.9925,True
田辺,枠番,内枠(1-2),40,5,9,0.125,0.225,0.9925,False
