騎手,粒度,条件,n,勝利数,複勝内数,勝率,複勝率,単勝回収率,信頼できる母数
シュタ,脚質×距離帯,先行/短距離(~1400),7,1,2,0.1429,0.2857,5.7286,False
△田山,脚質×距離帯,差し/短距離(~1400),6,2,2,0.3333,0.3333,5.65,False
小沢,場×距離帯×馬場,小倉/芝/中距離(1801-2200),13,1,4,0.0769,0.3077,5.6308,False
武豊,場×距離帯×馬場,阪神/ダ/中距離(1801-2200),6,2,4,0.3333,0.6667,5.5167,False
小林美,脚質×距離帯,先行/マイル(1401-1800),5,2,2,0.4,0.4,5.42,False
柴田大,脚質×距離帯,差し/短距離(~1400),36,2,6,0.0556,0.1667,5.3028,False
石川,場×距離帯×馬場,中山/ダ/短距離(~1400),13,1,1,0.0769,0.0769,5.2692,False
Aルメ,距離帯,短距離(~1400),15,1,3,0.0667,0.2,5.2533,False
亀田,脚質×距離帯,追込/マイル(1401-1800),5,1,1,0.2,0.2,5.24,False
Aルメ,場,京都,16,2,4,0.125,0.25,5.1437,False
杉原,場×距離帯×馬場,中山/ダ/短距離(~1400),7,1,1,0.1429,0.1429,5.1429,False
岩田望,場×距離帯×馬場,京都/芝/短距離(~1400),18,4,7,0.2222,0.3889,5.1389,False
国分恭,場×距離帯×馬場,新潟/芝/中距離(1801-2200),5,2,3,0.4,0.6,5.12,False
石川,場×距離帯×馬場,東京/芝/短距離(~1400),10,1,3,0.1,0.3,5.09,False
富田,脚質×距離帯,先行/マイル(1401-1800),13,1,2,0.0769,0.1538,5.0462,False
池添,場×距離帯×馬場,京都/芝/中距離(1801-2200),10,2,4,0.2,0.4,5.02,False
幸,場×距離帯×馬場,京都/芝/短距離(~1400),11,3,4,0.2727,0.3636,4.9818,False
田辺,場×距離帯×馬場,中山/芝/中距離(1801-2200),16,3,6,0.1875,0.375,4.8812,False
岩田望,場×距離帯×馬場,東京/ダ/マイル(1401-1800),8,2,2,0.25,0.25,4.875,False
内田博,場×距離帯×馬場,東京/ダ/短距離(~1400),20,1,1,0.05,0.05,4.865,False
△田山,場,京都,7,2,3,0.2857,0.4286,4.8429,False
荻野極,場×距離帯×馬場,東京/芝/マイル(1401-1800),19,3,8,0.1579,0.4211,4.7789,False
池添,脚質×距離帯,先行/中距離(1801-2200),10,1,1,0.1,0.1,4.77,False
菊沢,場×距離帯×馬場,東京/ダ/マイル(1401-1800),10,1,2,0.1,0.2,4.77,False
吉田隼,脚質×距離帯,先行/マイル(1401-1800),24,4,9,0.1667,0.375,4.7417,False
的場,距離帯,中距離(1801-2200),8,1,1,0.125,0.125,4.725,False
木幡巧,場×距離帯×馬場,中山/芝/マイル(1401-1800),19,1,3,0.0526,0.1579,4.7105,False
三浦,場×距離帯×馬場,福島/芝/長距離(2201~),5,1,3,0.2,0.6,4.7,False
古川吉,場×距離帯×馬場,阪神/芝/短距離(~1400),9,2,2,0.2222,0.2222,4.6444,False
石神深,距離帯,長距離(2201~),7,1,2,0.1429,0.2857,4.6286,False
斎藤,場,東京,13,1,2,0.0769,0.1538,4.6,False
武藤,場×距離帯×馬場,新潟/芝/マイル(1401-1800),10,1,2,0.1,0.2,4.6,False
国分優,脚質×距離帯,差し/中距離(1801-2200),8,1,1,0.125,0.125,4.525,False
マーカ,脚質×距離帯,先行/短距離(~1400),6,3,4,0.5,0.6667,4.5167,False
武藤,場×距離帯×馬場,福島/ダ/短距離(~1400),7,2,2,0.2857,0.2857,4.4429,False
キング,脚質×距離帯,先行/短距離(~1400),11,1,3,0.0909,0.2727,4.4273,False
横山武,場×距離帯×馬場,札幌/芝/中距離(1801-2200),10,2,3,0.2,0.3,4.41,False
ディー,脚質×距離帯,先行/中距離(1801-2200),6,1,3,0.1667,0.5,4.3833,False
△田山,脚質,差し,9,3,4,0.3333,0.4444,4.3778,False
田山,距離帯,長距離(2201~),5,1,2,0.2,0.4,4.36,False
菱田,場×距離帯×馬場,新潟/芝/短距離(~1400),7,2,2,0.2857,0.2857,4.3429,False
Aルメ,枠番,中枠(3-6),19,2,4,0.1053,0.2105,4.3316,False
野中,脚質×距離帯,差し/中距離(1801-2200),11,1,1,0.0909,0.0909,4.2727,False
岩田望,場×距離帯×馬場,阪神/芝/短距離(~1400),20,4,13,0.2,0.65,4.245,False
幸,距離帯,長距離(2201~),18,2,3,0.1111,0.1667,4.2389,False
斎藤,脚質×距離帯,差し/中距離(1801-2200),40,4,9,0.1,0.225,4.2025,False
田山,場×距離帯×馬場,小倉/ダ/マイル(1401-1800),5,2,2,0.4,0.4,4.2,False
川又,場,阪神,16,1,3,0.0625,0.1875,4.1875,False
ハマー,脚質×距離帯,差し/中距離(1801-2200),5,1,1,0.2,0.2,4.16,False
小崎,場,小倉,30,2,2,0.0667,0.0667,4.1467,False
