date,stem,band,kind,width,points,invest,ret
2025-01-05,2025-01-05_中山09R_招福S,3倍以上,ワイド,5,10,1000,0
2025-01-05,2025-01-05_中山09R_招福S,3倍以上,ワイド,6,15,1500,0
2025-01-05,2025-01-05_中山09R_招福S,3倍以上,馬連,3,3,300,0
2025-01-05,2025-01-05_中山09R_招福S,3倍以上,馬連,4,6,600,0
2025-01-05,2025-01-05_中山09R_招福S,3倍以上,馬連,5,10,1000,0
2025-01-05,2025-01-05_中山09R_招福S,3倍以上,馬連,6,15,1500,0
2025-01-05,2025-01-05_中山10R_ジュニアC,1倍台,ワイド,3,3,300,0
2025-01-05,2025-01-05_中山10R_ジュニアC,1倍台,ワイド,4,6,600,0
2025-01-05,2025-01-05_中山10R_ジュニアC,1倍台,ワイド,5,10,1000,0
2025-01-05,2025-01-05_中山10R_ジュニアC,1倍台,ワイド,6,15,1500,0
2025-01-05,2025-01-05_中山10R_ジュニアC,1倍台,馬連,3,3,300,0
2025-01-05,2025-01-05_中山10R_ジュニアC,1倍台,馬連,4,6,600,0
2025-01-05,2025-01-05_中山10R_ジュニアC,1倍台,馬連,5,10,1000,0
2025-01-05,2025-01-05_中山10R_ジュニアC,1倍台,馬連,6,15,1500,0
2025-01-05,2025-01-05_中山11R_中山金杯,3倍以上,ワイド,3,3,300,0
2025-01-05,2025-01-05_中山11R_中山金杯,3倍以上,ワイド,4,6,600,0
2025-01-05,2025-01-05_中山11R_中山金杯,3倍以上,ワイド,5,10,1000,0
2025-01-05,2025-01-05_中山11R_中山金杯,3倍以上,ワイド,6,15,1500,0
2025-01-05,2025-01-05_中山11R_中山金杯,3倍以上,馬連,3,3,300,0
2025-01-05,2025-01-05_中山11R_中山金杯,3倍以上,馬連,4,6,600,0
2025-01-05,2025-01-05_中山11R_中山金杯,3倍以上,馬連,5,10,1000,0
2025-01-05,2025-01-05_中山11R_中山金杯,3倍以上,馬連,6,15,1500,0
2025-01-05,2025-01-05_中山12R_4歳以上2勝クラス,3倍以上,ワイド,3,3,300,0
2025-01-05,2025-01-05_中山12R_4歳以上2勝クラス,3倍以上,ワイド,4,6,600,0
2025-01-05,2025-01-05_中山12R_4歳以上2勝クラス,3倍以上,ワイド,5,10,1000,510
2025-01-05,2025-01-05_中山12R_4歳以上2勝クラス,3倍以上,ワイド,6,15,1500,1620
2025-01-05,2025-01-05_中山12R_4歳以上2勝クラス,3倍以上,馬連,3,3,300,0
2025-01-05,2025-01-05_中山12R_4歳以上2勝クラス,3倍以上,馬連,4,6,600,0
2025-01-05,2025-01-05_中山12R_4歳以上2勝クラス,3倍以上,馬連,5,10,1000,1240
2025-01-05,2025-01-05_中山12R_4歳以上2勝クラス,3倍以上,馬連,6,15,1500,1240
2025-01-06,2025-01-06_中京09R_天竜川特別,3倍以上,ワイド,3,3,300,0
2025-01-06,2025-01-06_中京09R_天竜川特別,3倍以上,ワイド,4,6,600,0
2025-01-06,2025-01-06_中京09R_天竜川特別,3倍以上,ワイド,5,10,1000,0
2025-01-06,2025-01-06_中京09R_天竜川特別,3倍以上,ワイド,6,15,1500,0
2025-01-06,2025-01-06_中京09R_天竜川特別,3倍以上,馬連,3,3,300,0
2025-01-06,2025-01-06_中京09R_天竜川特別,3倍以上,馬連,4,6,600,0
2025-01-06,2025-01-06_中京09R_天竜川特別,3倍以上,馬連,5,10,1000,0
2025-01-06,2025-01-06_中京09R_天竜川特別,3倍以上,馬連,6,15,1500,0
2025-01-06,2025-01-06_中京10R_寿S,3倍以上,ワイド,3,3,300,1080
2025-01-06,2025-01-06_中京10R_寿S,3倍以上,ワイド,4,6,600,1080
2025-01-06,2025-01-06_中京10R_寿S,3倍以上,ワイド,5,10,1000,1080
2025-01-06,2025-01-06_中京10R_寿S,3倍以上,ワイド,6,15,1500,1080
2025-01-06,2025-01-06_中京10R_寿S,3倍以上,馬連,3,3,300,3940
2025-01-06,2025-01-06_中京10R_寿S,3倍以上,馬連,4,6,600,3940
2025-01-06,2025-01-06_中京10R_寿S,3倍以上,馬連,5,10,1000,3940
2025-01-06,2025-01-06_中京10R_寿S,3倍以上,馬連,6,15,1500,3940
2025-01-06,2025-01-06_中京11R_万葉S,3倍以上,ワイド,3,3,300,0
2025-01-06,2025-01-06_中京11R_万葉S,3倍以上,ワイド,4,6,600,350
2025-01-06,2025-01-06_中京11R_万葉S,3倍以上,ワイド,5,10,1000,350
2025-01-06,2025-01-06_中京11R_万葉S,3倍以上,ワイド,6,15,1500,350
2025-01-06,2025-01-06_中京11R_万葉S,3倍以上,馬連,3,3,300,0
2025-01-06,2025-01-06_中京11R_万葉S,3倍以上,馬連,4,6,600,610
2025-01-06,2025-01-06_中京11R_万葉S,3倍以上,馬連,5,10,1000,610
2025-01-06,2025-01-06_中京11R_万葉S,3倍以上,馬連,6,15,1500,610
2025-01-06,2025-01-06_中京12R_4歳以上2勝クラス,1倍台,ワイド,3,3,300,0
2025-01-06,2025-01-06_中京12R_4歳以上2勝クラス,1倍台,ワイド,4,6,600,0
2025-01-06,2025-01-06_中京12R_4歳以上2勝クラス,1倍台,ワイド,5,10,1000,0
2025-01-06,2025-01-06_中京12R_4歳以上2勝クラス,1倍台,ワイド,6,15,1500,690
2025-01-06,2025-01-06_中京12R_4歳以上2勝クラス,1倍台,馬連,3,3,300,0
2025-01-06,2025-01-06_中京12R_4歳以上2勝クラス,1倍台,馬連,4,6,600,0
