馬ID,馬名,日付,場,R,レース名,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,馬場種別,距離,馬場
2022101405,ララバニュルス,2026-08-30,札幌,10,HBC賞(2勝クラス),16,5,10,8.4,4,4,藤懸貴志,56,芝,1200,良
2022101405,ララバニュルス,2026-07-05,函館,12,3歳以上1勝クラス,10,4,4,2.3,1,1,横山和生,58,芝,1200,良
2022101405,ララバニュルス,2026-06-27,函館,9,長万部特別(1勝クラス),9,4,4,2.5,1,2,横山和生,58,芝,1200,稍
2022101405,ララバニュルス,2026-04-19,福島,9,須賀川特別(1勝クラス),16,8,16,11.4,4,2,藤懸貴志,58,芝,1200,良
2022101405,ララバニュルス,2026-02-21,小倉,12,4歳以上1勝クラス,18,7,13,4.2,2,10,藤岡佑介,58,芝,1200,良
2022101405,ララバニュルス,2025-07-06,函館,4,3歳未勝利,15,7,12,5.0,2,1,藤岡佑介,57,芝,1200,稍
2022101405,ララバニュルス,2025-06-15,東京,4,3歳未勝利,18,8,17,3.9,2,4,菅原明良,57,芝,1400,稍
2022101405,ララバニュルス,2025-05-25,東京,4,3歳未勝利,18,3,6,2.2,1,4,坂井瑠星,57,芝,1600,稍
2022101405,ララバニュルス,2025-05-04,東京,4,3歳未勝利,15,6,11,26.4,9,2,坂井瑠星,57,芝,1600,良
2022106420,パーティーガール,2026-08-23,新潟,11,3歳以上1勝クラス,17,8,15,8.3,4,1,菊沢一樹,56,芝,1000,良
2022106420,パーティーガール,2026-08-08,新潟,11,3歳以上1勝クラス,18,5,10,73.5,12,6,菊沢一樹,56,芝,1000,良
2022106420,パーティーガール,2026-07-05,函館,7,3歳以上1勝クラス,9,6,6,165.0,9,6,遠藤汰月,53,ダ,1000,良
2022106420,パーティーガール,2026-06-21,函館,8,3歳以上1勝クラス,12,4,4,289.9,12,10,遠藤汰月,53,ダ,1700,良
2022106420,パーティーガール,2026-06-14,函館,7,3歳以上1勝クラス,12,5,5,321.7,12,10,遠藤汰月,53,ダ,1000,良
