日付,場,馬場種別,馬場差,レース数
2023-09-10,阪神,芝,-1.10,2
2023-09-16,中山,ダ,-1.90,2
2023-09-16,中山,芝,-0.10,2
2023-09-16,阪神,ダ,-0.20,2
2023-09-16,阪神,芝,-1.15,2
2023-09-17,中山,ダ,-0.95,2
2023-09-17,中山,芝,-1.05,2
2023-09-17,阪神,芝,-2.80,3
2023-09-18,中山,ダ,+0.45,2
2023-09-18,中山,芝,-1.70,2
2023-09-18,阪神,ダ,-0.45,2
2023-09-18,阪神,芝,-2.15,2
2023-09-23,中山,ダ,-2.70,2
2023-09-23,中山,芝,+0.65,2
2023-09-23,阪神,ダ,-1.10,3
2023-09-24,中山,ダ,-0.55,2
2023-09-24,中山,芝,-1.00,2
2023-09-24,阪神,芝,-1.10,3
2023-09-30,中山,芝,+0.70,3
2023-09-30,阪神,ダ,+0.20,3
2023-10-01,中山,ダ,-0.60,2
2023-10-01,中山,芝,+0.15,2
2023-10-01,阪神,ダ,-1.75,2
2023-10-01,阪神,芝,-0.20,2
2023-10-07,京都,ダ,-0.95,2
2023-10-07,京都,芝,-0.75,2
2023-10-07,東京,ダ,-0.20,2
2023-10-07,東京,芝,+0.05,2
2023-10-08,京都,ダ,-1.35,2
2023-10-08,京都,芝,-1.15,2
2023-10-08,東京,ダ,-0.30,2
2023-10-08,東京,芝,-0.80,2
2023-10-09,京都,ダ,-0.40,2
2023-10-09,京都,芝,+0.50,2
2023-10-09,東京,ダ,-1.90,3
2023-10-14,京都,ダ,-1.35,2
2023-10-14,京都,芝,-0.25,2
2023-10-14,新潟,芝,-1.40,3
2023-10-14,東京,ダ,-0.40,2
2023-10-14,東京,芝,-0.65,2
2023-10-15,京都,ダ,-1.85,2
2023-10-15,京都,芝,+0.35,2
2023-10-15,新潟,ダ,-2.40,2
2023-10-15,新潟,芝,-1.45,2
2023-10-15,東京,芝,-1.05,2
2023-10-21,京都,ダ,-1.20,3
2023-10-21,新潟,芝,+0.70,3
2023-10-21,東京,芝,+0.50,3
2023-10-22,京都,芝,-0.90,3
2023-10-22,新潟,芝,+0.30,3
2023-10-22,東京,ダ,-1.05,2
2023-10-22,東京,芝,-0.70,2
2023-10-28,京都,ダ,-1.10,2
2023-10-28,京都,芝,-1.35,2
2023-10-28,新潟,芝,+2.20,3
2023-10-28,東京,ダ,+0.20,2
2023-10-28,東京,芝,-0.85,2
2023-10-29,京都,芝,-1.70,3
2023-10-29,新潟,芝,+1.20,3
2023-10-29,東京,ダ,-1.55,2
2023-10-29,東京,芝,-2.20,2
2023-11-04,京都,芝,-1.10,3
2023-11-04,東京,芝,-0.50,3
2023-11-04,福島,芝,-0.70,3
2023-11-05,京都,ダ,-1.05,2
2023-11-05,京都,芝,-0.90,2
2023-11-05,東京,芝,-0.70,3
2023-11-05,福島,ダ,-0.15,2
2023-11-05,福島,芝,+0.60,2
2023-11-11,京都,芝,-0.30,3
2023-11-11,東京,ダ,-0.95,2
2023-11-11,東京,芝,+0.15,2
2023-11-11,福島,芝,+0.10,3
2023-11-12,京都,ダ,+0.00,2
2023-11-12,京都,芝,+0.05,2
2023-11-12,東京,芝,-0.70,3
2023-11-12,福島,ダ,-1.30,2
2023-11-12,福島,芝,+0.25,2
2023-11-18,京都,芝,+0.20,3
2023-11-18,東京,芝,-0.40,3
2023-11-18,福島,芝,+0.50,3
2023-11-19,京都,芝,-0.90,3
2023-11-19,東京,芝,+0.20,3
2023-11-19,福島,芝,+1.10,3
2023-11-25,京都,芝,-0.70,3
2023-11-25,東京,ダ,+0.00,2
2023-11-25,東京,芝,-0.75,2
2023-11-26,京都,芝,-1.00,3
2023-11-26,東京,芝,-0.70,3
2023-12-02,中京,芝,-1.40,3
2023-12-02,中山,芝,-0.70,3
2023-12-02,阪神,芝,-0.90,3
2023-12-03,中京,ダ,-2.70,2
2023-12-03,中京,芝,+0.05,2
2023-12-03,中山,ダ,-0.90,2
2023-12-03,中山,芝,-1.00,2
2023-12-03,阪神,ダ,-0.45,2
2023-12-03,阪神,芝,-1.50,2
2023-12-09,中京,芝,-1.10,3
2023-12-09,中山,ダ,-1.20,2
