馬番,枠番,馬名,性齢,斤量,騎手,前走着順,前走レース名,上がり3F,調教評価,血統父,血統母父,乗り替わり,前走不利,休養日数,前走ハンデ戦,脚質,道悪巧者
1,1,ウィンターサン,牝4,54.0,岡村健司,11,フェアリー重賞・ダ1800・重,37.8,,,,,,,,差し,
2,1,アレグランサ,牡4,56.0,達城龍次,3,ペルセウ(C1)・ダ1800・不良,39.0,,,,,,,,逃げ,Y
3,2,リュミエール,セ8,56.0,安藤洋一,2,清水坂賞(B3)・ダ2000・重,39.5,,,,,,,,逃げ,Y
4,2,ロンギングタイム,牡6,56.0,吉井章,6,三宅坂賞(B3)・ダ1800・良,39.9,,,,,,,,差し,
5,3,アーススピリット,牡5,56.0,藤本現暉,4,清水坂賞(B3)・ダ2000・重,39.2,,,,,,,,差し,
6,3,ファーストメイト,牡5,56.0,藤田凌,7,清水坂賞(B3)・ダ2000・重,38.1,,,,,,,,差し,
7,4,アスコットミヤギ,牡3,55.0,笹川翼,3,黒潮盃重賞・ダ1800・不良,42.4,,,,,,,,逃げ,Y
8,4,ヒルノデプラーツ,牡7,56.0,和田譲治,12,狸穴坂賞(B3)・ダ1800・稍重,41.6,,,,,,,,差し,
9,5,チャダルクン,牡5,56.0,高野誠毅,13,サマーバ(B3)・ダ1400・稍重,38.2,,,,,,,,追込,
10,5,ジェイケイファイン,セ6,53.0,杉山海波,9,清水坂賞(B3)・ダ2000・重,42.1,,,,,,,,追込,
11,6,エースアビリティ,牡5,56.0,Ｆ．ゴン,14,トゥイン(B3)・ダ1600・不良,41.0,,,,,,,,追込,
12,6,マイネルオデーサ,セ5,56.0,東原悠善,4,清水坂賞(B3)・ダ2000・重,39.8,,,,,,,,追込,
13,7,ベイビーゲート,牡4,53.0,西優哉,1,トゥイン(B3)・ダ1600・不良,41.8,,,,,,,,逃げ,Y
14,7,ケイアイエルナト,牡5,56.0,高橋昭平,1,トゥイン(B3)・ダ1600・不良,43.0,,,,,,,,逃げ,Y
16,8,ニシノシークレット,牡6,56.0,野畑凌,7,サンパラ(B3)・ダ1400・稍重,39.0,,,,,,,,差し,
