馬ID,馬名,日付,場,R,レース名,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,馬場種別,距離,馬場
2022105631,ステーション,2026-04-28,大井,9,カーネーション特別競(C2),10,4,4,1.2,1,4,笹川翼,54,ダ,1400,不
2022105631,ステーション,2026-04-17,大井,1,C3 選抜牝馬,13,8,12,1.2,1,1,笹川翼,54,ダ,1400,重
2022105631,ステーション,2026-03-24,大井,2,C3五 六,14,8,13,1.1,1,2,笹川翼,54,ダ,1200,良
2022105631,ステーション,2025-12-29,大井,1,3歳五,12,1,1,1.9,1,1,笹川翼,54,ダ,1200,重
2022105095,ツァガーンサル,2026-08-22,新潟,9,3歳以上1勝クラス,13,3,4,21.5,8,10,吉田豊,56,ダ,1800,良
2022105095,ツァガーンサル,2026-06-20,東京,12,3歳以上1勝クラス,16,3,6,21.4,6,14,ゴンサル,56,ダ,1600,不
2022105095,ツァガーンサル,2026-05-23,新潟,8,4歳以上1勝クラス,15,4,6,19.4,7,6,杉原誠人,56,ダ,1800,稍
2022105095,ツァガーンサル,2026-03-25,大井,5,C2七 八九(C2八),11,7,8,1.3,1,1,本田正重,54,ダ,1400,良
2022105095,ツァガーンサル,2026-02-19,大井,9,C2五 六七(C2六),11,3,3,,,取,本田正重,54,ダ,1400,良
2022105095,ツァガーンサル,2026-01-27,大井,9,C211 1213(C212),14,4,6,1.0,1,1,本田正重,54,ダ,1200,良
2022105095,ツァガーンサル,2025-12-04,大井,2,3歳四 五,14,4,6,1.4,1,1,本田正重,54,ダ,1200,良
2022105095,ツァガーンサル,2024-11-10,福島,6,2歳新馬,15,2,2,8.5,4,4,ドイル,55,ダ,1700,良
2022110100,キュベベペッパー,2026-07-20,大井,2,C3六 七,15,5,10,5.9,3,10,安藤洋一,56,ダ,1200,稍
2022110100,キュベベペッパー,2026-03-11,大井,1,C3三 四,14,8,13,4.0,2,14,安藤洋一,55,ダ,1600,良
2022110100,キュベベペッパー,2026-02-18,大井,1,C3四 五,12,8,12,1.2,1,5,安藤洋一,55,ダ,1200,稍
2022110100,キュベベペッパー,2025-11-10,大井,1,3歳五,11,8,10,1.4,1,1,安藤洋一,55,ダ,1200,稍
