stem,race_id,距離,馬場種別,馬場,天候,頭数,レース名
2026-01-12_大井01R_C3十,202644011201,1200,ダ,良,晴,13,C3十
2026-01-12_大井02R_C3八九,202644011202,1600,ダ,良,晴,14,C3八九
2026-01-12_大井03R_C3八九,202644011203,1200,ダ,良,晴,15,C3八九
2026-01-12_大井04R_3歳新馬,202644011204,1400,ダ,良,晴,6,3歳新馬
2026-01-12_大井05R_3歳新馬,202644011205,1200,ダ,良,晴,7,3歳新馬
2026-01-12_大井06R_3歳十11,202644011206,1400,ダ,良,晴,14,3歳十11
2026-01-12_大井07R_3歳十11,202644011207,1200,ダ,良,晴,13,3歳十11
2026-01-12_大井08R_C21516,202644011208,1600,ダ,良,晴,13,C21516
2026-01-12_大井09R_C21516,202644011209,1200,ダ,良,晴,15,C21516
2026-01-12_大井10R_アングレカム特別競走(C1C2),202644011210,1400,ダ,良,晴,11,アングレカム特別競走(C1C2)
2026-01-12_大井11R_ウェルカム2026賞競走(B2B3),202644011211,1600,ダ,良,晴,9,ウェルカム2026賞競走(B2B3)
2026-01-12_大井12R_芋洗坂賞競走(B3),202644011212,1800,ダ,良,晴,16,芋洗坂賞競走(B3)
2026-01-13_大井01R_C3六七,202644011301,1600,ダ,良,晴,13,C3六七
2026-01-13_大井02R_C3六七,202644011302,1200,ダ,良,晴,15,C3六七
2026-01-13_大井03R_3歳八九,202644011303,1400,ダ,良,晴,10,3歳八九
2026-01-13_大井04R_蛇崩川賞(3歳),202644011304,1200,ダ,良,晴,16,蛇崩川賞(3歳)
2026-01-13_大井05R_3歳六七,202644011305,1400,ダ,良,晴,14,3歳六七
2026-01-13_大井06R_3歳六七,202644011306,1200,ダ,良,晴,13,3歳六七
2026-01-13_大井07R_C2121314(C213),202644011307,1600,ダ,良,晴,13,C2121314(C213)
2026-01-13_大井08R_C2121314(C213),202644011308,1400,ダ,良,晴,12,C2121314(C213)
2026-01-13_大井09R_新助坂賞競走(B3),202644011309,1200,ダ,良,晴,8,新助坂賞競走(B3)
2026-01-13_大井10R_おうし座特別競走(C1),202644011310,1800,ダ,良,晴,13,おうし座特別競走(C1)
2026-01-13_大井11R_ジャニュアリー賞競走(A2B1),202644011311,1800,ダ,良,晴,10,ジャニュアリー賞競走(A2B1)
2026-01-13_大井12R_C2121314(C213),202644011312,1200,ダ,良,晴,16,C2121314(C213)
2026-01-14_大井01R_C3四五,202644011401,1600,ダ,良,晴,13,C3四五
2026-01-14_大井02R_C3四五,202644011402,1200,ダ,良,晴,16,C3四五
2026-01-14_大井03R_3歳選抜牝馬,202644011403,1200,ダ,良,晴,11,3歳選抜牝馬
2026-01-14_大井04R_目黒川賞(3歳),202644011404,1600,ダ,良,晴,13,目黒川賞(3歳)
2026-01-14_大井05R_3歳四五,202644011405,1200,ダ,良,晴,11,3歳四五
2026-01-14_大井06R_C2十11,202644011406,1600,ダ,良,晴,14,C2十11
2026-01-14_大井07R_C2十11,202644011407,1200,ダ,良,晴,12,C2十11
2026-01-14_大井08R_C1七八,202644011408,1600,ダ,良,晴,13,C1七八
2026-01-14_大井09R_C1七八,202644011409,1200,ダ,良,晴,10,C1七八
2026-01-14_大井10R_春駒特別競走(C2),202644011410,2000,ダ,良,晴,16,春駒特別競走(C2)
2026-01-14_大井11R_’26ウインタースプリント競走(4上),202644011411,1200,ダ,良,晴,11,’26ウインタースプリント競走(4上)
