馬番,枠番,馬名,性齢,斤量,騎手,前走着順,前走レース名,上がり3F,調教評価,血統父,血統母父,乗り替わり,前走不利,休養日数,前走ハンデ戦,脚質,道悪巧者
1,1,クライスラー,牝4,54.0,野畑凌,8,C2五六・川崎ダ1400・良,39.6,,,,,,,,先行,
2,2,リュウノワールド,牡4,56.0,笹川翼,4,C2九十・大井ダ1200・不良,39.3,,,,,,,,追込,
3,2,ファビエンヌ,牝4,51.0,西優哉,3,C2八九・大井ダ1200・良,40.4,,,,,,,,逃げ,
4,3,プレインコート,牝4,54.0,石川駿介,4,C2九十・大井ダ1200・不良,39.4,,,,,,,,差し,
5,3,キルコネクション,牝4,51.0,高橋優,2,C2九十・大井ダ1200・不良,40.6,,,,,,,,逃げ,Y
6,4,デルタウェーブ,牝4,54.0,西啓太,9,C2六七・大井ダ1200・不良,39.2,,,,,,,,追込,
7,4,パレルモフレイバー,牝7,54.0,東原悠善,7,美里ブル(C2)・浦和ダ1400・重,39.0,,,,,,45,,逃げ,
8,5,エムオーナイナー,牡8,56.0,岡村健司,7,C2六七・大井ダ1200・不良,39.9,,,,,,,,差し,
9,5,ゴールドタリスマン,牝5,54.0,中村尚平,1,C3三四・大井ダ1200・重,38.2,,,,,,,,逃げ,Y
10,6,アスフォデロース,牝5,54.0,和田譲治,7,C2六七・大井ダ1200・不良,41.3,,,,,,,,差し,
11,6,ミュークエンペラー,牡4,56.0,藤田凌,13,C2六七・大井ダ1200・不良,38.3,,,,,,,,追込,
12,7,ポンペルモ,牡4,56.0,田中洸多,1,C2六七・大井ダ1600・不良,42.5,,,,,,,,逃げ,Y
13,7,コイゴロモ,牝4,54.0,千田洋,1,C2九十・大井ダ1200・不良,38.3,,,,,,,,逃げ,Y
14,8,トーセンアマンダ,牝8,54.0,遠藤健太,11,C2六七・大井ダ1200・不良,39.1,,,,,,,,追込,
15,8,イオリ,牝4,51.0,杉山海波,7,C2九十・大井ダ1200・不良,40.0,,,,,,,,追込,
